nodes,techs,carriers,timesteps,flow_out
NLD,ccgt,power,2024-10-04 17:00:00,1.1504860009793703e-06
NLD,ccgt,power,2024-10-04 18:00:00,1.1559277594848762e-06
NLD,ccgt,power,2024-10-04 19:00:00,2.0467003800444476e-06
NLD,ccgt,power,2024-10-04 20:00:00,1106.2806922457426
NLD,ccgt,power,2024-10-04 21:00:00,1118.9573541978887
NLD,ccgt,power,2024-10-04 22:00:00,1.4754971005075893e-06
NLD,ccgt,power,2024-10-04 23:00:00,1.4551156777050777e-06
NLD,ccgt,power,2024-10-05 00:00:00,1.4364092819672087e-06
NLD,ccgt,power,2024-10-05 01:00:00,1.4543382785944976e-06
NLD,ccgt,power,2024-10-05 02:00:00,1.47052249590998e-06
NLD,ccgt,power,2024-10-05 03:00:00,1.486913953634649e-06
NLD,ccgt,power,2024-10-05 04:00:00,1.498108933610672e-06
NLD,ccgt,power,2024-10-05 05:00:00,1.1693147762237245e-06
NLD,ccgt,power,2024-10-05 06:00:00,1.5027655995098008e-06
NLD,ccgt,power,2024-10-05 07:00:00,1.467038897172597e-06
NLD,ccgt,power,2024-10-05 08:00:00,1.4774683877810885e-06
NLD,ccgt,power,2024-10-05 09:00:00,1.175102635146653e-06
NLD,ccgt,power,2024-10-05 10:00:00,1.146489259080995e-06
NLD,ccgt,power,2024-10-05 11:00:00,1.1264244623581136e-06
NLD,ccgt,power,2024-10-05 12:00:00,1.1252540986613152e-06
NLD,ccgt,power,2024-10-05 13:00:00,1.1238322538458185e-06
NLD,ccgt,power,2024-10-05 14:00:00,1.1234132159689382e-06
NLD,ccgt,power,2024-10-05 15:00:00,1.1270556665022961e-06
NLD,ccgt,power,2024-10-05 16:00:00,1.1295180564558022e-06
NLD,ccgt,power,2024-10-05 17:00:00,1.1318220061537097e-06
NLD,ccgt,power,2024-10-05 18:00:00,1.1426915836652103e-06
NLD,ccgt,power,2024-10-05 19:00:00,1.1663194184081006e-06
NLD,ccgt,power,2024-10-05 20:00:00,1.1589610085167065e-06
NLD,ccgt,power,2024-10-05 21:00:00,1.1702035604666504e-06
NLD,ccgt,power,2024-10-05 22:00:00,1.1710274940354834e-06
NLD,ccgt,power,2024-10-05 23:00:00,1.1701727095589929e-06
NLD,ccgt,power,2024-10-06 00:00:00,1.1652028213127164e-06
NLD,ccgt,power,2024-10-06 01:00:00,1.163144255927613e-06
