nodes,techs,costs,timesteps,cost_operation_variable
NLD,ccgt,monetary,2024-10-04 13:00:00,5.6213546579987094e-08
NLD,ccgt,monetary,2024-10-04 14:00:00,5.602682939943864e-08
NLD,ccgt,monetary,2024-10-04 15:00:00,5.6069798794394906e-08
NLD,ccgt,monetary,2024-10-04 16:00:00,5.5907690040933384e-08
NLD,ccgt,monetary,2024-10-04 17:00:00,5.695299292164008e-08
NLD,ccgt,monetary,2024-10-04 18:00:00,5.722237858420487e-08
NLD,ccgt,monetary,2024-10-04 19:00:00,1.0131867068192137e-07
NLD,ccgt,monetary,2024-10-04 20:00:00,54.764678910637734
NLD,ccgt,monetary,2024-10-04 21:00:00,55.392217044796695
NLD,ccgt,monetary,2024-10-04 22:00:00,7.304215422836425e-08
NLD,ccgt,monetary,2024-10-04 23:00:00,7.203320407371981e-08
NLD,ccgt,monetary,2024-10-05 00:00:00,7.110717348913094e-08
NLD,ccgt,monetary,2024-10-05 01:00:00,7.199472015822284e-08
NLD,ccgt,monetary,2024-10-05 02:00:00,7.279589428239844e-08
NLD,ccgt,monetary,2024-10-05 03:00:00,7.360732751580913e-08
NLD,ccgt,monetary,2024-10-05 04:00:00,7.4161517323238e-08
NLD,ccgt,monetary,2024-10-05 05:00:00,5.7885081710466706e-08
NLD,ccgt,monetary,2024-10-05 06:00:00,7.4392038215944e-08
NLD,ccgt,monetary,2024-10-05 07:00:00,7.262344422732335e-08
NLD,ccgt,monetary,2024-10-05 08:00:00,7.313973969227999e-08
NLD,ccgt,monetary,2024-10-05 09:00:00,5.817160052772167e-08
NLD,ccgt,monetary,2024-10-05 10:00:00,5.6755140524606116e-08
NLD,ccgt,monetary,2024-10-05 11:00:00,5.576186444409785e-08
NLD,ccgt,monetary,2024-10-05 12:00:00,5.5703927437230526e-08
NLD,ccgt,monetary,2024-10-05 13:00:00,5.5633541254657494e-08
NLD,ccgt,monetary,2024-10-05 14:00:00,5.561279744620129e-08
NLD,ccgt,monetary,2024-10-05 15:00:00,5.579311120861748e-08
NLD,ccgt,monetary,2024-10-05 16:00:00,5.591500793528167e-08
NLD,ccgt,monetary,2024-10-05 17:00:00,5.602906132726126e-08
NLD,ccgt,monetary,2024-10-05 18:00:00,5.656714259947729e-08
NLD,ccgt,monetary,2024-10-05 19:00:00,5.773680125131659e-08
NLD,ccgt,monetary,2024-10-05 20:00:00,5.7372534788185066e-08
NLD,ccgt,monetary,2024-10-05 21:00:00,5.792907957106922e-08
NLD,ccgt,monetary,2024-10-05 22:00:00,5.796986710144655e-08
NLD,ccgt,monetary,2024-10-05 23:00:00,5.792755234559759e-08
NLD,ccgt,monetary,2024-10-06 00:00:00,5.7681525875157635e-08
NLD,ccgt,monetary,2024-10-06 01:00:00,5.757961984613449e-08
NLD,ccgt,monetary,2024-10-06 02:00:00,5.7571353313721135e-08
NLD,ccgt,monetary,2024-10-06 03:00:00,5.743036624095897e-08
NLD,ccgt,monetary,2024-10-06 04:00:00,5.7473841903372564e-08
NLD,ccgt,monetary,2024-10-06 05:00:00,5.7551757077268685e-08
NLD,ccgt,monetary,2024-10-06 06:00:00,5.758069188865792e-08
NLD,ccgt,monetary,2024-10-06 07:00:00,5.762560687685387e-08
NLD,ccgt,monetary,2024-10-06 08:00:00,5.74930214707346e-08
NLD,ccgt,monetary,2024-10-06 09:00:00,5.642652989080313e-08
NLD,ccgt,monetary,2024-10-06 10:00:00,5.590147796412943e-08
NLD,ccgt,monetary,2024-10-06 11:00:00,5.573655476082422e-08
NLD,ccgt,monetary,2024-10-06 12:00:00,5.5867668602117415e-08
NLD,ccgt,monetary,2024-10-06 13:00:00,5.5714541084946064e-08
NLD,ccgt,monetary,2024-10-06 14:00:00,5.565509040706102e-08
NLD,ccgt,monetary,2024-10-06 15:00:00,5.6054679606326454e-08
NLD,ccgt,monetary,2024-10-06 16:00:00,5.613067850831937e-08
NLD,ccgt,monetary,2024-10-06 17:00:00,5.610241652950421e-08
NLD,ccgt,monetary,2024-10-06 18:00:00,5.780262865928212e-08
NLD,ccgt,monetary,2024-10-06 19:00:00,5.797924272739164e-08
NLD,ccgt,monetary,2024-10-06 20:00:00,7.242810789605116e-08
NLD,ccgt,monetary,2024-10-06 21:00:00,7.313229518433943e-08
NLD,ccgt,monetary,2024-10-06 22:00:00,5.7709141598811636e-08
NLD,ccgt,monetary,2024-10-06 23:00:00,5.752163858551449e-08
NLD,ccgt,monetary,2024-10-07 00:00:00,5.7729979385520546e-08
NLD,ccgt,monetary,2024-10-07 01:00:00,5.763482795935239e-08
NLD,ccgt,monetary,2024-10-07 02:00:00,5.76350869307202e-08
NLD,ccgt,monetary,2024-10-07 03:00:00,5.7623418345104516e-08
NLD,ccgt,monetary,2024-10-07 04:00:00,5.7618133920643915e-08
NLD,ccgt,monetary,2024-10-07 05:00:00,5.774780166114712e-08
NLD,ccgt,monetary,2024-10-07 06:00:00,5.773362943556643e-08
NLD,ccgt,monetary,2024-10-07 07:00:00,7.337078030231252e-08
NLD,ccgt,monetary,2024-10-07 08:00:00,7.232889906154973e-08
NLD,ccgt,monetary,2024-10-07 09:00:00,5.7884991772094856e-08
NLD,ccgt,monetary,2024-10-07 10:00:00,5.8239507100821064e-08
NLD,ccgt,monetary,2024-10-07 11:00:00,5.743732943680459e-08
NLD,ccgt,monetary,2024-10-07 12:00:00,5.717270996695332e-08
NLD,ccgt,monetary,2024-10-07 13:00:00,5.723460992640006e-08
NLD,ccgt,monetary,2024-10-07 14:00:00,5.7205666430470855e-08
NLD,ccgt,monetary,2024-10-07 15:00:00,5.714740366301197e-08
NLD,ccgt,monetary,2024-10-07 16:00:00,5.704864569821174e-08
NLD,ccgt,monetary,2024-10-07 17:00:00,5.7163017774392476e-08
NLD,ccgt,monetary,2024-10-07 18:00:00,5.830564006960357e-08
NLD,ccgt,monetary,2024-10-07 19:00:00,5.782659865219141e-08
NLD,ccgt,monetary,2024-10-07 20:00:00,7.286054889674317e-08
NLD,ccgt,monetary,2024-10-07 21:00:00,5.739596055332788e-08
NLD,ccgt,monetary,2024-10-07 22:00:00,5.8069312027658745e-08
NLD,ccgt,monetary,2024-10-07 23:00:00,5.775576870628325e-08
NLD,ccgt,monetary,2024-10-08 00:00:00,5.761121168400389e-08
NLD,ccgt,monetary,2024-10-08 01:00:00,5.738534887728043e-08
NLD,ccgt,monetary,2024-10-08 02:00:00,5.6951044425689046e-08
NLD,ccgt,monetary,2024-10-08 03:00:00,5.6912126532466795e-08
NLD,ccgt,monetary,2024-10-08 04:00:00,5.6865134977384796e-08
NLD,ccgt,monetary,2024-10-08 05:00:00,5.6262143985886185e-08
NLD,ccgt,monetary,2024-10-08 06:00:00,5.730794594260908e-08
NLD,ccgt,monetary,2024-10-08 07:00:00,5.7706778232207436e-08
NLD,ccgt,monetary,2024-10-08 08:00:00,5.734130442597819e-08
NLD,ccgt,monetary,2024-10-08 09:00:00,5.769888839258516e-08
NLD,ccgt,monetary,2024-10-08 10:00:00,5.605417475640357e-08
NLD,ccgt,monetary,2024-10-08 11:00:00,5.573220891135214e-08
NLD,ccgt,monetary,2024-10-08 12:00:00,5.575710950031061e-08
NLD,ccgt,monetary,2024-10-08 13:00:00,5.61844776051233e-08
NLD,ccgt,monetary,2024-10-08 14:00:00,5.578823673764889e-08
NLD,ccgt,monetary,2024-10-08 15:00:00,5.654917354481767e-08
NLD,ccgt,monetary,2024-10-08 16:00:00,5.6662842716059523e-08
NLD,ccgt,monetary,2024-10-08 17:00:00,5.616283068622606e-08
NLD,ccgt,monetary,2024-10-08 18:00:00,5.80401668837195e-08
NLD,ccgt,monetary,2024-10-08 19:00:00,5.7888591443640105e-08
NLD,ccgt,monetary,2024-10-08 20:00:00,7.359853758659936e-08
NLD,ccgt,monetary,2024-10-08 21:00:00,5.761843384649957e-08
NLD,ccgt,monetary,2024-10-08 22:00:00,5.763516433245785e-08
NLD,ccgt,monetary,2024-10-08 23:00:00,5.775760938142327e-08
NLD,ccgt,monetary,2024-10-09 00:00:00,5.7586462431816244e-08
NLD,ccgt,monetary,2024-10-09 01:00:00,5.761390822340863e-08
NLD,ccgt,monetary,2024-10-09 02:00:00,5.7676525232153994e-08
NLD,ccgt,monetary,2024-10-09 03:00:00,5.7719685019506526e-08
NLD,ccgt,monetary,2024-10-09 04:00:00,5.771254133341191e-08
NLD,ccgt,monetary,2024-10-09 05:00:00,5.768212401848212e-08
NLD,ccgt,monetary,2024-10-09 06:00:00,5.783364979914381e-08
NLD,ccgt,monetary,2024-10-09 07:00:00,5.754193940208599e-08
NLD,ccgt,monetary,2024-10-09 08:00:00,5.757755950830354e-08
NLD,ccgt,monetary,2024-10-09 09:00:00,5.799689476960065e-08
NLD,ccgt,monetary,2024-10-09 10:00:00,5.7534573158908183e-08
NLD,ccgt,monetary,2024-10-09 11:00:00,5.685525897509735e-08
NLD,ccgt,monetary,2024-10-09 12:00:00,5.622809809624709e-08
NLD,ccgt,monetary,2024-10-09 13:00:00,5.641673410002673e-08
NLD,ccgt,monetary,2024-10-09 14:00:00,5.6112961934737655e-08
NLD,ccgt,monetary,2024-10-09 15:00:00,5.6349273801728485e-08
NLD,ccgt,monetary,2024-10-09 16:00:00,5.624475905274529e-08
NLD,ccgt,monetary,2024-10-09 17:00:00,5.6163522741835325e-08
NLD,ccgt,monetary,2024-10-09 18:00:00,5.7169743021781144e-08
NLD,ccgt,monetary,2024-10-09 19:00:00,5.803903823667971e-08
NLD,ccgt,monetary,2024-10-09 20:00:00,5.790411308012342e-08
NLD,ccgt,monetary,2024-10-09 21:00:00,5.779648188119002e-08
NLD,ccgt,monetary,2024-10-09 22:00:00,5.795933601807058e-08
NLD,ccgt,monetary,2024-10-09 23:00:00,5.7751444784219275e-08
NLD,ccgt,monetary,2024-10-10 00:00:00,5.7638742884311405e-08
NLD,ccgt,monetary,2024-10-10 01:00:00,5.764599027258368e-08
NLD,ccgt,monetary,2024-10-10 02:00:00,5.763175847752144e-08
NLD,ccgt,monetary,2024-10-10 03:00:00,5.760644893989674e-08
NLD,ccgt,monetary,2024-10-10 04:00:00,5.761692100681917e-08
NLD,ccgt,monetary,2024-10-10 05:00:00,5.816079851043784e-08
NLD,ccgt,monetary,2024-10-10 06:00:00,5.7964099718602355e-08
NLD,ccgt,monetary,2024-10-10 07:00:00,7.168609504446307e-08
NLD,ccgt,monetary,2024-10-10 08:00:00,7.14267359578628e-08
NLD,ccgt,monetary,2024-10-10 09:00:00,5.7559034312522134e-08
NLD,ccgt,monetary,2024-10-10 10:00:00,5.838556187540364e-08
NLD,ccgt,monetary,2024-10-10 11:00:00,5.695099683688324e-08
NLD,ccgt,monetary,2024-10-10 12:00:00,5.6323967498130635e-08
NLD,ccgt,monetary,2024-10-10 13:00:00,5.6616853304135405e-08
NLD,ccgt,monetary,2024-10-10 14:00:00,5.661879623819378e-08
NLD,ccgt,monetary,2024-10-10 15:00:00,5.6336084752821274e-08
NLD,ccgt,monetary,2024-10-10 16:00:00,5.672300313799658e-08
NLD,ccgt,monetary,2024-10-10 17:00:00,5.847418452671542e-08
NLD,ccgt,monetary,2024-10-10 18:00:00,5.7180523270949175e-08
NLD,ccgt,monetary,2024-10-10 19:00:00,1.0813858452485608e-07
NLD,ccgt,monetary,2024-10-10 20:00:00,156.66236318366882
NLD,ccgt,monetary,2024-10-10 21:00:00,154.31539580277266
NLD,ccgt,monetary,2024-10-10 22:00:00,44.70452229049641
NLD,ccgt,monetary,2024-10-10 23:00:00,7.387125047301762e-08
NLD,ccgt,monetary,2024-10-11 00:00:00,7.330797776660323e-08
NLD,ccgt,monetary,2024-10-11 01:00:00,7.103198844259306e-08
NLD,ccgt,monetary,2024-10-11 02:00:00,7.115140687674259e-08
NLD,ccgt,monetary,2024-10-11 03:00:00,7.157577881362009e-08
NLD,ccgt,monetary,2024-10-11 04:00:00,7.182732838720815e-08
NLD,ccgt,monetary,2024-10-11 05:00:00,7.142769797691479e-08
NLD,ccgt,monetary,2024-10-11 06:00:00,7.31335233429766e-08
NLD,ccgt,monetary,2024-10-11 07:00:00,15.77249530836848
NLD,ccgt,monetary,2024-10-11 08:00:00,40.55904420205736
NLD,ccgt,monetary,2024-10-11 09:00:00,1.0563174543216282e-07
NLD,ccgt,monetary,2024-10-11 10:00:00,5.67547570354729e-08
NLD,ccgt,monetary,2024-10-11 11:00:00,5.7850660879999454e-08
NLD,ccgt,monetary,2024-10-11 12:00:00,5.80464789419845e-08
NLD,ccgt,monetary,2024-10-11 13:00:00,5.766367856922685e-08
NLD,ccgt,monetary,2024-10-11 14:00:00,5.746175295304674e-08
NLD,ccgt,monetary,2024-10-11 15:00:00,5.718061612207436e-08
NLD,ccgt,monetary,2024-10-11 16:00:00,5.7342101896799925e-08
NLD,ccgt,monetary,2024-10-11 17:00:00,5.8143180733556954e-08
NLD,ccgt,monetary,2024-10-11 18:00:00,5.7888289094769426e-08
NLD,ccgt,monetary,2024-10-11 19:00:00,7.307687175646222e-08
NLD,ccgt,monetary,2024-10-11 20:00:00,7.190667037427051e-08
NLD,ccgt,monetary,2024-10-11 21:00:00,7.315979924460416e-08
NLD,ccgt,monetary,2024-10-11 22:00:00,5.786869720742205e-08
NLD,ccgt,monetary,2024-10-11 23:00:00,5.814273808522491e-08
NLD,ccgt,monetary,2024-10-12 00:00:00,5.761239368919405e-08
NLD,ccgt,monetary,2024-10-12 01:00:00,5.752949221039285e-08
NLD,ccgt,monetary,2024-10-12 02:00:00,5.758313267213519e-08
NLD,ccgt,monetary,2024-10-12 03:00:00,5.758749141987076e-08
NLD,ccgt,monetary,2024-10-12 04:00:00,5.759332354215681e-08
NLD,ccgt,monetary,2024-10-12 05:00:00,5.763517197545521e-08
NLD,ccgt,monetary,2024-10-12 06:00:00,5.771539734609627e-08
NLD,ccgt,monetary,2024-10-12 07:00:00,5.782140818792299e-08
NLD,ccgt,monetary,2024-10-12 08:00:00,5.7683305381146703e-08
NLD,ccgt,monetary,2024-10-12 09:00:00,5.7463982342041524e-08
NLD,ccgt,monetary,2024-10-12 10:00:00,5.7792411657977636e-08
NLD,ccgt,monetary,2024-10-12 11:00:00,5.7778252232264075e-08
NLD,ccgt,monetary,2024-10-12 12:00:00,5.76828191096617e-08
NLD,ccgt,monetary,2024-10-12 13:00:00,5.76712122252125e-08
NLD,ccgt,monetary,2024-10-12 14:00:00,5.7678298083757236e-08
NLD,ccgt,monetary,2024-10-12 15:00:00,5.7624928306993346e-08
NLD,ccgt,monetary,2024-10-12 16:00:00,5.766476582901838e-08
NLD,ccgt,monetary,2024-10-12 17:00:00,5.826002724751207e-08
NLD,ccgt,monetary,2024-10-12 18:00:00,5.755291451009784e-08
NLD,ccgt,monetary,2024-10-12 19:00:00,7.080795902300771e-08
NLD,ccgt,monetary,2024-10-12 20:00:00,7.42845770796233e-08
NLD,ccgt,monetary,2024-10-12 21:00:00,7.470739093302313e-08
NLD,ccgt,monetary,2024-10-12 22:00:00,7.114851256286392e-08
NLD,ccgt,monetary,2024-10-12 23:00:00,7.281186380392025e-08
NLD,ccgt,monetary,2024-10-13 00:00:00,7.376539679041444e-08
NLD,ccgt,monetary,2024-10-13 01:00:00,5.7895777855469736e-08
NLD,ccgt,monetary,2024-10-13 02:00:00,5.8000703181991374e-08
NLD,ccgt,monetary,2024-10-13 03:00:00,5.8040656392832725e-08
NLD,ccgt,monetary,2024-10-13 04:00:00,5.8114346690230716e-08
NLD,ccgt,monetary,2024-10-13 05:00:00,5.813652720519826e-08
NLD,ccgt,monetary,2024-10-13 06:00:00,5.809749570649714e-08
NLD,ccgt,monetary,2024-10-13 07:00:00,5.8049059142962666e-08
NLD,ccgt,monetary,2024-10-13 08:00:00,5.7864033279718623e-08
NLD,ccgt,monetary,2024-10-13 09:00:00,5.800942703976147e-08
NLD,ccgt,monetary,2024-10-13 10:00:00,5.74268127908413e-08
NLD,ccgt,monetary,2024-10-13 11:00:00,5.6847424183801486e-08
NLD,ccgt,monetary,2024-10-13 12:00:00,5.6062827802313795e-08
NLD,ccgt,monetary,2024-10-13 13:00:00,5.650552669127377e-08
NLD,ccgt,monetary,2024-10-13 14:00:00,5.6338555620079336e-08
NLD,ccgt,monetary,2024-10-13 15:00:00,5.629887234651574e-08
NLD,ccgt,monetary,2024-10-13 16:00:00,5.5988085616535267e-08
NLD,ccgt,monetary,2024-10-13 17:00:00,5.7684859909565493e-08
NLD,ccgt,monetary,2024-10-13 18:00:00,5.81040160831629e-08
NLD,ccgt,monetary,2024-10-13 19:00:00,1.0198501347492561e-07
NLD,ccgt,monetary,2024-10-13 20:00:00,8.03009305845818e-08
NLD,ccgt,monetary,2024-10-13 21:00:00,2.034135006680897
NLD,ccgt,monetary,2024-10-13 22:00:00,7.446119897134624e-08
NLD,ccgt,monetary,2024-10-13 23:00:00,7.118299744631713e-08
NLD,ccgt,monetary,2024-10-14 00:00:00,7.204061266995232e-08
NLD,ccgt,monetary,2024-10-14 01:00:00,7.385369991378423e-08
NLD,ccgt,monetary,2024-10-14 02:00:00,5.76581184369041e-08
NLD,ccgt,monetary,2024-10-14 03:00:00,5.831067646122838e-08
NLD,ccgt,monetary,2024-10-14 04:00:00,7.501750276382157e-08
NLD,ccgt,monetary,2024-10-14 05:00:00,7.353401542170144e-08
NLD,ccgt,monetary,2024-10-14 06:00:00,7.16337832042757e-08
NLD,ccgt,monetary,2024-10-14 07:00:00,35.209718287864746
NLD,ccgt,monetary,2024-10-14 08:00:00,98.86399379180466
NLD,ccgt,monetary,2024-10-14 09:00:00,1.0465831027783891e-07
NLD,ccgt,monetary,2024-10-14 10:00:00,5.5605155998543e-08
NLD,ccgt,monetary,2024-10-14 11:00:00,7.531080049558218e-08
NLD,ccgt,monetary,2024-10-14 12:00:00,5.728810452292402e-08
NLD,ccgt,monetary,2024-10-14 13:00:00,5.7837965630802995e-08
NLD,ccgt,monetary,2024-10-14 14:00:00,5.837791385748996e-08
NLD,ccgt,monetary,2024-10-14 15:00:00,5.838803467454295e-08
NLD,ccgt,monetary,2024-10-14 16:00:00,5.808638863669431e-08
NLD,ccgt,monetary,2024-10-14 17:00:00,7.49430816868586e-08
