timesteps,nodes,techs,source_use_equals
2024-10-02 19:00:00,NLD,solar_pv,0.0220723086036218
2024-10-02 19:00:00,NLD,wind_onshore,0.3711023125905012
2024-10-02 20:00:00,NLD,solar_pv,0.0028945169726301
2024-10-02 20:00:00,NLD,wind_onshore,0.3661201250507412
2024-10-02 21:00:00,NLD,solar_pv,0.0020712997907359
2024-10-02 21:00:00,NLD,wind_onshore,0.4093885600382907
2024-10-02 22:00:00,NLD,solar_pv,0.0019988721989275
2024-10-02 22:00:00,NLD,wind_onshore,0.3986598850066342
2024-10-02 23:00:00,NLD,solar_pv,0.0021760611288874
2024-10-02 23:00:00,NLD,wind_onshore,0.3915817040586963
2024-10-03 00:00:00,NLD,solar_pv,0.0017705959497455
2024-10-03 00:00:00,NLD,wind_onshore,0.4077952839390983
2024-10-03 01:00:00,NLD,solar_pv,0.0017518423768666
2024-10-03 01:00:00,NLD,wind_onshore,0.4078363313602298
2024-10-03 02:00:00,NLD,solar_pv,0.0015326195766607
2024-10-03 02:00:00,NLD,wind_onshore,0.3924493647495047
2024-10-03 03:00:00,NLD,solar_pv,0.0010547268057103
2024-10-03 03:00:00,NLD,wind_onshore,0.3517469237154126
2024-10-03 04:00:00,NLD,solar_pv,0.0009887659631705
2024-10-03 04:00:00,NLD,wind_onshore,0.3155316171169261
2024-10-03 05:00:00,NLD,solar_pv,0.000711989094474
2024-10-03 05:00:00,NLD,wind_onshore,0.3060310021629416
2024-10-03 06:00:00,NLD,solar_pv,0.0001836556792285
2024-10-03 06:00:00,NLD,wind_onshore,0.3049487437368602
2024-10-03 07:00:00,NLD,solar_pv,0.000362784633969
2024-10-03 07:00:00,NLD,wind_onshore,0.3175356703604297
2024-10-03 08:00:00,NLD,solar_pv,0.0290033704697188
2024-10-03 08:00:00,NLD,wind_onshore,0.3046335419531908
2024-10-03 09:00:00,NLD,solar_pv,0.1636876508369266
2024-10-03 09:00:00,NLD,wind_onshore,0.2843641133454103
2024-10-03 10:00:00,NLD,solar_pv,0.3062154513920324
2024-10-03 10:00:00,NLD,wind_onshore,0.2723859002865746
2024-10-03 11:00:00,NLD,solar_pv,0.3880482833367391
2024-10-03 11:00:00,NLD,wind_onshore,0.2595660484813969
2024-10-03 12:00:00,NLD,solar_pv,0.4195355322005313
2024-10-03 12:00:00,NLD,wind_onshore,0.2525270973566066
2024-10-03 13:00:00,NLD,solar_pv,0.4430415191170041
2024-10-03 13:00:00,NLD,wind_onshore,0.2427442700223564
2024-10-03 14:00:00,NLD,solar_pv,0.4408615779385555
2024-10-03 14:00:00,NLD,wind_onshore,0.2331332662841632
2024-10-03 15:00:00,NLD,solar_pv,0.431363863287747
2024-10-03 15:00:00,NLD,wind_onshore,0.237219044791673
2024-10-03 16:00:00,NLD,solar_pv,0.392359018399195
2024-10-03 16:00:00,NLD,wind_onshore,0.2323882631639534
2024-10-03 17:00:00,NLD,solar_pv,0.3214595194429283
2024-10-03 17:00:00,NLD,wind_onshore,0.2668224146183347
2024-10-03 18:00:00,NLD,solar_pv,0.1867357919051819
2024-10-03 18:00:00,NLD,wind_onshore,0.289122827213077
2024-10-03 19:00:00,NLD,solar_pv,0.0448902333979146
2024-10-03 19:00:00,NLD,wind_onshore,0.2540330378726833
2024-10-03 20:00:00,NLD,solar_pv,0.0029346108180955
2024-10-03 20:00:00,NLD,wind_onshore,0.2279095502656722
2024-10-03 21:00:00,NLD,solar_pv,0.0036685868600828
2024-10-03 21:00:00,NLD,wind_onshore,0.2114116980606229
2024-10-03 22:00:00,NLD,solar_pv,0.0037313143279883
2024-10-03 22:00:00,NLD,wind_onshore,0.1934813060047379
2024-10-03 23:00:00,NLD,solar_pv,0.0043152617869438
2024-10-03 23:00:00,NLD,wind_onshore,0.1861932833695843
2024-10-04 00:00:00,NLD,solar_pv,0.0024450778984616
2024-10-04 00:00:00,NLD,wind_onshore,0.1862457210714134
2024-10-04 01:00:00,NLD,solar_pv,0.0018604837645792
2024-10-04 01:00:00,NLD,wind_onshore,0.1781187255002938
2024-10-04 02:00:00,NLD,solar_pv,0.0007598430390617
2024-10-04 02:00:00,NLD,wind_onshore,0.1709950743094642
2024-10-04 03:00:00,NLD,solar_pv,0.0004610792228519
2024-10-04 03:00:00,NLD,wind_onshore,0.164956680581389
2024-10-04 04:00:00,NLD,solar_pv,0.0007714831877452
2024-10-04 04:00:00,NLD,wind_onshore,0.1681058205546097
