nodes,techs,carriers,timesteps,capacity_factor
NLD,ccgt,power,2024-01-01 00:00:00,5.0208330750656613e-08
NLD,ccgt,power,2024-01-01 01:00:00,5.20933631625991e-08
NLD,ccgt,power,2024-01-01 02:00:00,4.942288596238411e-08
NLD,ccgt,power,2024-01-01 03:00:00,2.5266229994553826e-08
NLD,ccgt,power,2024-01-01 04:00:00,2.6498804253202598e-08
NLD,ccgt,power,2024-01-01 05:00:00,2.6797955560173902e-08
NLD,ccgt,power,2024-01-01 06:00:00,2.6891228607736408e-08
NLD,ccgt,power,2024-01-01 07:00:00,2.7085173831068407e-08
NLD,ccgt,power,2024-01-01 08:00:00,2.7515817099935003e-08
NLD,ccgt,power,2024-01-01 09:00:00,1.47001112422182e-08
NLD,ccgt,power,2024-01-01 10:00:00,1.6473289975697716e-08
NLD,ccgt,power,2024-01-01 11:00:00,2.162087802413509e-08
NLD,ccgt,power,2024-01-01 12:00:00,0.0
NLD,ccgt,power,2024-01-01 13:00:00,0.0
NLD,ccgt,power,2024-01-01 14:00:00,2.2038557422589142e-08
NLD,ccgt,power,2024-01-01 15:00:00,1.3552642735446417e-08
NLD,ccgt,power,2024-01-01 16:00:00,2.8216277440923207e-08
NLD,ccgt,power,2024-01-01 17:00:00,2.598461670614173e-08
NLD,ccgt,power,2024-01-01 18:00:00,4.996321822600141e-08
NLD,ccgt,power,2024-01-01 19:00:00,5.3729660639706204e-08
NLD,ccgt,power,2024-01-01 20:00:00,5.2695972927307426e-08
NLD,ccgt,power,2024-01-01 21:00:00,4.77986461962649e-08
NLD,ccgt,power,2024-01-01 22:00:00,2.5341500811750867e-08
NLD,ccgt,power,2024-01-01 23:00:00,2.728288553212184e-08
NLD,ccgt,power,2024-01-02 00:00:00,2.718427358818099e-08
NLD,ccgt,power,2024-01-02 01:00:00,1.4509961275363914e-08
NLD,ccgt,power,2024-01-02 02:00:00,1.6315302100335193e-08
NLD,ccgt,power,2024-01-02 03:00:00,1.7202325629856735e-08
NLD,ccgt,power,2024-01-02 04:00:00,1.7523458202196712e-08
NLD,ccgt,power,2024-01-02 05:00:00,1.6929882077227867e-08
NLD,ccgt,power,2024-01-02 06:00:00,1.4666524423012532e-08
NLD,ccgt,power,2024-01-02 07:00:00,2.686485766272176e-08
NLD,ccgt,power,2024-01-02 08:00:00,2.7388035421490352e-08
NLD,ccgt,power,2024-01-02 09:00:00,2.6909907952586548e-08
NLD,ccgt,power,2024-01-02 10:00:00,1.469873591289171e-08
NLD,ccgt,power,2024-01-02 11:00:00,1.7433842257794777e-08
NLD,ccgt,power,2024-01-02 12:00:00,1.866855345149202e-08
NLD,ccgt,power,2024-01-02 13:00:00,1.834938591622859e-08
NLD,ccgt,power,2024-01-02 14:00:00,1.58495920868429e-08
NLD,ccgt,power,2024-01-02 15:00:00,2.7409465956240376e-08
NLD,ccgt,power,2024-01-02 16:00:00,2.5977212981602828e-08
NLD,ccgt,power,2024-01-02 17:00:00,5.077992428242784e-08
NLD,ccgt,power,2024-01-02 18:00:00,4.915125339461641e-08
NLD,ccgt,power,2024-01-02 19:00:00,4.9492494504528176e-08
NLD,ccgt,power,2024-01-02 20:00:00,4.8465567349148115e-08
NLD,ccgt,power,2024-01-02 21:00:00,5.400819798649892e-08
NLD,ccgt,power,2024-01-02 22:00:00,4.196233394838005e-08
NLD,ccgt,power,2024-01-02 23:00:00,2.6038167301746883e-08
NLD,ccgt,power,2024-01-03 00:00:00,2.7061459459255812e-08
NLD,ccgt,power,2024-01-03 01:00:00,1.4411225648770241e-08
NLD,ccgt,power,2024-01-03 02:00:00,1.6244144332914004e-08
NLD,ccgt,power,2024-01-03 03:00:00,1.6692279106227743e-08
NLD,ccgt,power,2024-01-03 04:00:00,1.5964348343708495e-08
NLD,ccgt,power,2024-01-03 05:00:00,1.4085145688203685e-08
NLD,ccgt,power,2024-01-03 06:00:00,2.6625610122078936e-08
NLD,ccgt,power,2024-01-03 07:00:00,2.5325635700849127e-08
NLD,ccgt,power,2024-01-03 08:00:00,4.632356759859464e-08
NLD,ccgt,power,2024-01-03 09:00:00,4.7928351373419173e-08
NLD,ccgt,power,2024-01-03 10:00:00,2.6225651214544433e-08
NLD,ccgt,power,2024-01-03 11:00:00,2.7846590837742127e-08
NLD,ccgt,power,2024-01-03 12:00:00,1.2002203711434891e-08
NLD,ccgt,power,2024-01-03 13:00:00,2.786364091135625e-08
NLD,ccgt,power,2024-01-03 14:00:00,2.594620154765243e-08
NLD,ccgt,power,2024-01-03 15:00:00,4.238189929946224e-08
NLD,ccgt,power,2024-01-03 16:00:00,7.164060871138529e-08
NLD,ccgt,power,2024-01-03 17:00:00,6.310391520262705e-08
NLD,ccgt,power,2024-01-03 18:00:00,0.03557107706150715
NLD,ccgt,power,2024-01-03 19:00:00,0.052569105779490435
NLD,ccgt,power,2024-01-03 20:00:00,0.07377337420043624
NLD,ccgt,power,2024-01-03 21:00:00,0.07509975128864028
NLD,ccgt,power,2024-01-03 22:00:00,0.019558327333977017
NLD,ccgt,power,2024-01-03 23:00:00,4.474942867387469e-08
NLD,ccgt,power,2024-01-04 00:00:00,4.778102124757621e-08
NLD,ccgt,power,2024-01-04 01:00:00,4.918740168676002e-08
NLD,ccgt,power,2024-01-04 02:00:00,5.197123427590911e-08
NLD,ccgt,power,2024-01-04 03:00:00,5.075798100372589e-08
NLD,ccgt,power,2024-01-04 04:00:00,2.3889146230676264e-08
NLD,ccgt,power,2024-01-04 05:00:00,4.2215916300461054e-08
NLD,ccgt,power,2024-01-04 06:00:00,4.3066748547604296e-08
