nodes,techs,timesteps,source_use
NLD,ccgt,2019-01-04 20:00:00,18835.903397938484
NLD,ccgt,2019-01-04 21:00:00,17185.277296245804
NLD,ccgt,2019-01-04 22:00:00,15567.147687917552
NLD,ccgt,2019-01-04 23:00:00,13795.759797780742
NLD,ccgt,2019-01-05 00:00:00,12260.964221191613
NLD,ccgt,2019-01-05 01:00:00,11088.424108811527
NLD,ccgt,2019-01-05 02:00:00,9785.493471959708
NLD,ccgt,2019-01-05 03:00:00,8799.775848222975
NLD,ccgt,2019-01-05 04:00:00,8851.66215334266
NLD,ccgt,2019-01-05 05:00:00,9188.97202827165
NLD,ccgt,2019-01-05 06:00:00,10578.385491634002
NLD,ccgt,2019-01-05 07:00:00,12320.81618039127
NLD,ccgt,2019-01-05 08:00:00,13375.237685758086
NLD,ccgt,2019-01-05 09:00:00,13531.770686831944
NLD,ccgt,2019-01-05 10:00:00,13669.236294863465
NLD,ccgt,2019-01-05 11:00:00,13912.94753520578
NLD,ccgt,2019-01-05 12:00:00,14528.382673849488
NLD,ccgt,2019-01-05 13:00:00,15402.722759398786
NLD,ccgt,2019-01-05 14:00:00,16338.860049940795
NLD,ccgt,2019-01-05 15:00:00,17431.01805867673
NLD,ccgt,2019-01-05 16:00:00,18761.96239685277
NLD,ccgt,2019-01-05 17:00:00,18152.0970829969
NLD,ccgt,2019-01-05 18:00:00,17634.049299049195
NLD,ccgt,2019-01-05 19:00:00,16756.73061655479
NLD,ccgt,2019-01-05 20:00:00,15534.895765704901
NLD,ccgt,2019-01-05 21:00:00,14389.459853383869
NLD,ccgt,2019-01-05 22:00:00,13514.38081897093
NLD,ccgt,2019-01-05 23:00:00,12974.220421088805
NLD,ccgt,2019-01-06 00:00:00,12853.910931864968
NLD,ccgt,2019-01-06 01:00:00,12745.567772243725
NLD,ccgt,2019-01-06 02:00:00,12992.48287961286
NLD,ccgt,2019-01-06 03:00:00,13461.573794855794
NLD,ccgt,2019-01-06 04:00:00,14014.650691652467
NLD,ccgt,2019-01-06 05:00:00,14930.857453721697
NLD,ccgt,2019-01-06 06:00:00,16280.142504792015
