nodes,techs,carriers,timesteps,flow_in
NLD,curtailment,power,2024-10-04 18:00:00,8.886300454632144e-06
NLD,curtailment,power,2024-10-04 19:00:00,8.0453447447058e-06
NLD,curtailment,power,2024-10-04 20:00:00,2.1541088618133152e-06
NLD,curtailment,power,2024-10-04 21:00:00,2.154108855290755e-06
NLD,curtailment,power,2024-10-04 22:00:00,8.444842378862224e-06
NLD,curtailment,power,2024-10-04 23:00:00,8.444876602233323e-06
NLD,curtailment,power,2024-10-05 00:00:00,8.44487422134747e-06
NLD,curtailment,power,2024-10-05 01:00:00,8.444882216268601e-06
NLD,curtailment,power,2024-10-05 02:00:00,8.444887072738862e-06
NLD,curtailment,power,2024-10-05 03:00:00,8.444912324377316e-06
NLD,curtailment,power,2024-10-05 04:00:00,8.44500225450056e-06
NLD,curtailment,power,2024-10-05 05:00:00,8.885883436707612e-06
NLD,curtailment,power,2024-10-05 06:00:00,8.445090321333032e-06
NLD,curtailment,power,2024-10-05 07:00:00,8.444881402437827e-06
NLD,curtailment,power,2024-10-05 08:00:00,8.444949753599364e-06
NLD,curtailment,power,2024-10-05 09:00:00,8.88630398132714e-06
NLD,curtailment,power,2024-10-05 10:00:00,8.886310071270793e-06
NLD,curtailment,power,2024-10-05 11:00:00,8.886312075453854e-06
NLD,curtailment,power,2024-10-05 12:00:00,8.886316698256212e-06
NLD,curtailment,power,2024-10-05 13:00:00,8.886322050734221e-06
NLD,curtailment,power,2024-10-05 14:00:00,8.886322556298995e-06
NLD,curtailment,power,2024-10-05 15:00:00,8.886315572037302e-06
NLD,curtailment,power,2024-10-05 16:00:00,8.886313206023884e-06
NLD,curtailment,power,2024-10-05 17:00:00,8.886312291221578e-06
NLD,curtailment,power,2024-10-05 18:00:00,8.886310500328624e-06
NLD,curtailment,power,2024-10-05 19:00:00,8.88630137095255e-06
NLD,curtailment,power,2024-10-05 20:00:00,8.886231475475556e-06
NLD,curtailment,power,2024-10-05 21:00:00,8.8862646910352e-06
NLD,curtailment,power,2024-10-05 22:00:00,8.886297328262755e-06
NLD,curtailment,power,2024-10-05 23:00:00,8.886303737367773e-06
NLD,curtailment,power,2024-10-06 00:00:00,8.886307109606025e-06
NLD,curtailment,power,2024-10-06 01:00:00,8.88630739573782e-06
NLD,curtailment,power,2024-10-06 02:00:00,8.886307462921059e-06
NLD,curtailment,power,2024-10-06 03:00:00,8.886308599481956e-06
NLD,curtailment,power,2024-10-06 04:00:00,8.886308193876286e-06
NLD,curtailment,power,2024-10-06 05:00:00,8.886307806070179e-06
NLD,curtailment,power,2024-10-06 06:00:00,8.886307814493562e-06
NLD,curtailment,power,2024-10-06 07:00:00,8.886306805629997e-06
NLD,curtailment,power,2024-10-06 08:00:00,8.886306746004949e-06
