nodes,techs,carriers,timesteps,flow_in_inc_eff
NLD,curtailment,power,2024-10-04 17:00:00,1.767746545927552e-05
NLD,curtailment,power,2024-10-04 18:00:00,1.7677456305124992e-05
NLD,curtailment,power,2024-10-04 19:00:00,1.767706220699456e-05
NLD,curtailment,power,2024-10-04 20:00:00,4.285150577288191e-06
NLD,curtailment,power,2024-10-04 21:00:00,4.285150583163428e-06
NLD,curtailment,power,2024-10-04 22:00:00,4.2851574957669745e-06
NLD,curtailment,power,2024-10-04 23:00:00,1.7666164015347693e-05
NLD,curtailment,power,2024-10-05 00:00:00,1.6799324093388045e-05
NLD,curtailment,power,2024-10-05 01:00:00,1.679934689484408e-05
NLD,curtailment,power,2024-10-05 02:00:00,1.6799331105265235e-05
NLD,curtailment,power,2024-10-05 03:00:00,1.6799373833472492e-05
NLD,curtailment,power,2024-10-05 04:00:00,1.679945381932984e-05
NLD,curtailment,power,2024-10-05 05:00:00,1.7677058856282492e-05
NLD,curtailment,power,2024-10-05 06:00:00,1.6799569055777393e-05
NLD,curtailment,power,2024-10-05 07:00:00,1.6799244148987553e-05
NLD,curtailment,power,2024-10-05 08:00:00,1.6799418334485176e-05
NLD,curtailment,power,2024-10-05 09:00:00,1.767745330767765e-05
NLD,curtailment,power,2024-10-05 10:00:00,1.7677465108121952e-05
NLD,curtailment,power,2024-10-05 11:00:00,1.7677471928823074e-05
NLD,curtailment,power,2024-10-05 12:00:00,1.7677485038047284e-05
NLD,curtailment,power,2024-10-05 13:00:00,1.767749630073121e-05
NLD,curtailment,power,2024-10-05 14:00:00,1.767749938613684e-05
NLD,curtailment,power,2024-10-05 15:00:00,1.7677481208955292e-05
NLD,curtailment,power,2024-10-05 16:00:00,1.7677475540472682e-05
NLD,curtailment,power,2024-10-05 17:00:00,1.7677472421068208e-05
NLD,curtailment,power,2024-10-05 18:00:00,1.7677465571960555e-05
NLD,curtailment,power,2024-10-05 19:00:00,1.7677451418978384e-05
NLD,curtailment,power,2024-10-05 20:00:00,1.7677378638060372e-05
NLD,curtailment,power,2024-10-05 21:00:00,1.7677406915501525e-05
NLD,curtailment,power,2024-10-05 22:00:00,1.7677442577853503e-05
NLD,curtailment,power,2024-10-05 23:00:00,1.767745182233195e-05
NLD,curtailment,power,2024-10-06 00:00:00,1.7677458241070754e-05
NLD,curtailment,power,2024-10-06 01:00:00,1.7677459766790842e-05
NLD,curtailment,power,2024-10-06 02:00:00,1.7677460533075447e-05
NLD,curtailment,power,2024-10-06 03:00:00,1.7677462284119202e-05
NLD,curtailment,power,2024-10-06 04:00:00,1.7677461888295637e-05
NLD,curtailment,power,2024-10-06 05:00:00,1.767746118739536e-05
NLD,curtailment,power,2024-10-06 06:00:00,1.767746084160686e-05
NLD,curtailment,power,2024-10-06 07:00:00,1.767745953151897e-05
NLD,curtailment,power,2024-10-06 08:00:00,1.767746057736077e-05
NLD,curtailment,power,2024-10-06 09:00:00,1.767746579208005e-05
NLD,curtailment,power,2024-10-06 10:00:00,1.7677473804317625e-05
NLD,curtailment,power,2024-10-06 11:00:00,1.7677481487878444e-05
NLD,curtailment,power,2024-10-06 12:00:00,1.7677477610833492e-05
NLD,curtailment,power,2024-10-06 13:00:00,1.7677485504355266e-05
NLD,curtailment,power,2024-10-06 14:00:00,1.76774883134897e-05
NLD,curtailment,power,2024-10-06 15:00:00,1.7677472523186608e-05
NLD,curtailment,power,2024-10-06 16:00:00,1.7677471159951996e-05
NLD,curtailment,power,2024-10-06 17:00:00,1.7677468616424975e-05
NLD,curtailment,power,2024-10-06 18:00:00,1.7677461521009574e-05
NLD,curtailment,power,2024-10-06 19:00:00,1.7677437278658826e-05
NLD,curtailment,power,2024-10-06 20:00:00,1.6799229054657253e-05
NLD,curtailment,power,2024-10-06 21:00:00,1.67993459830461e-05
NLD,curtailment,power,2024-10-06 22:00:00,1.767740763323816e-05
NLD,curtailment,power,2024-10-06 23:00:00,1.7677444859475876e-05
NLD,curtailment,power,2024-10-07 00:00:00,1.767745387466855e-05
NLD,curtailment,power,2024-10-07 01:00:00,1.767745625389514e-05
NLD,curtailment,power,2024-10-07 02:00:00,1.7677457305955054e-05
NLD,curtailment,power,2024-10-07 03:00:00,1.7677457877551643e-05
NLD,curtailment,power,2024-10-07 04:00:00,1.76774567079911e-05
NLD,curtailment,power,2024-10-07 05:00:00,1.7677454658039746e-05
NLD,curtailment,power,2024-10-07 06:00:00,1.7677445575813022e-05
NLD,curtailment,power,2024-10-07 07:00:00,1.679943278916048e-05
NLD,curtailment,power,2024-10-07 08:00:00,1.6799192565412034e-05
NLD,curtailment,power,2024-10-07 09:00:00,1.7677431260111186e-05
NLD,curtailment,power,2024-10-07 10:00:00,1.7677455499856814e-05
NLD,curtailment,power,2024-10-07 11:00:00,1.7677461104459967e-05
NLD,curtailment,power,2024-10-07 12:00:00,1.767746353024957e-05
NLD,curtailment,power,2024-10-07 13:00:00,1.7677463492337623e-05
NLD,curtailment,power,2024-10-07 14:00:00,1.767746391751878e-05
NLD,curtailment,power,2024-10-07 15:00:00,1.767746410308085e-05
NLD,curtailment,power,2024-10-07 16:00:00,1.7677464201752355e-05
NLD,curtailment,power,2024-10-07 17:00:00,1.7677463209253737e-05
NLD,curtailment,power,2024-10-07 18:00:00,1.767745753348095e-05
NLD,curtailment,power,2024-10-07 19:00:00,1.76774220157893e-05
NLD,curtailment,power,2024-10-07 20:00:00,1.6799262131939486e-05
NLD,curtailment,power,2024-10-07 21:00:00,1.7677212352002532e-05
NLD,curtailment,power,2024-10-07 22:00:00,1.7677449063560873e-05
NLD,curtailment,power,2024-10-07 23:00:00,1.767745651133504e-05
NLD,curtailment,power,2024-10-08 00:00:00,1.7677458953001702e-05
NLD,curtailment,power,2024-10-08 01:00:00,1.7677462234045108e-05
NLD,curtailment,power,2024-10-08 02:00:00,1.7677464973589376e-05
NLD,curtailment,power,2024-10-08 03:00:00,1.7677464945907093e-05
NLD,curtailment,power,2024-10-08 04:00:00,1.7677464928744606e-05
NLD,curtailment,power,2024-10-08 05:00:00,1.7677465245086177e-05
NLD,curtailment,power,2024-10-08 06:00:00,1.7677462389877052e-05
NLD,curtailment,power,2024-10-08 07:00:00,1.767745369919086e-05
NLD,curtailment,power,2024-10-08 08:00:00,1.767744934578694e-05
NLD,curtailment,power,2024-10-08 09:00:00,1.767745903563829e-05
NLD,curtailment,power,2024-10-08 10:00:00,1.7677468196846107e-05
NLD,curtailment,power,2024-10-08 11:00:00,1.7677479790552137e-05
NLD,curtailment,power,2024-10-08 12:00:00,1.7677480352308508e-05
NLD,curtailment,power,2024-10-08 13:00:00,1.767747113262403e-05
NLD,curtailment,power,2024-10-08 14:00:00,1.767747766804814e-05
NLD,curtailment,power,2024-10-08 15:00:00,1.7677467866222124e-05
NLD,curtailment,power,2024-10-08 16:00:00,1.76774667555433e-05
NLD,curtailment,power,2024-10-08 17:00:00,1.7677468265840397e-05
NLD,curtailment,power,2024-10-08 18:00:00,1.767745660662557e-05
NLD,curtailment,power,2024-10-08 19:00:00,1.7677428390132626e-05
NLD,curtailment,power,2024-10-08 20:00:00,1.679936891724361e-05
NLD,curtailment,power,2024-10-08 21:00:00,1.7677156449834655e-05
NLD,curtailment,power,2024-10-08 22:00:00,1.7677445266055594e-05
NLD,curtailment,power,2024-10-08 23:00:00,1.767745582183797e-05
NLD,curtailment,power,2024-10-09 00:00:00,1.7677458870570244e-05
NLD,curtailment,power,2024-10-09 01:00:00,1.76774589005068e-05
NLD,curtailment,power,2024-10-09 02:00:00,1.7677458711000404e-05
NLD,curtailment,power,2024-10-09 03:00:00,1.7677457739318902e-05
NLD,curtailment,power,2024-10-09 04:00:00,1.7677457799816082e-05
NLD,curtailment,power,2024-10-09 05:00:00,1.7677457359367623e-05
NLD,curtailment,power,2024-10-09 06:00:00,1.7677456432264177e-05
NLD,curtailment,power,2024-10-09 07:00:00,1.7677446585633288e-05
NLD,curtailment,power,2024-10-09 08:00:00,1.76774371113686e-05
NLD,curtailment,power,2024-10-09 09:00:00,1.767745259171694e-05
NLD,curtailment,power,2024-10-09 10:00:00,1.7677460202396387e-05
NLD,curtailment,power,2024-10-09 11:00:00,1.76774644581228e-05
NLD,curtailment,power,2024-10-09 12:00:00,1.7677466878630605e-05
NLD,curtailment,power,2024-10-09 13:00:00,1.7677468497697465e-05
NLD,curtailment,power,2024-10-09 14:00:00,1.767747117288436e-05
NLD,curtailment,power,2024-10-09 15:00:00,1.7677469376256843e-05
NLD,curtailment,power,2024-10-09 16:00:00,1.7677469875951313e-05
NLD,curtailment,power,2024-10-09 17:00:00,1.7677467564006406e-05
NLD,curtailment,power,2024-10-09 18:00:00,1.7677462556281703e-05
NLD,curtailment,power,2024-10-09 19:00:00,1.7677454788643174e-05
NLD,curtailment,power,2024-10-09 20:00:00,1.767743871609103e-05
NLD,curtailment,power,2024-10-09 21:00:00,1.7677431159803404e-05
NLD,curtailment,power,2024-10-09 22:00:00,1.76774495845816e-05
NLD,curtailment,power,2024-10-09 23:00:00,1.767745634713956e-05
NLD,curtailment,power,2024-10-10 00:00:00,1.7677458140099873e-05
NLD,curtailment,power,2024-10-10 01:00:00,1.7677458375358734e-05
NLD,curtailment,power,2024-10-10 02:00:00,1.7677458789656236e-05
NLD,curtailment,power,2024-10-10 03:00:00,1.7677458377660278e-05
NLD,curtailment,power,2024-10-10 04:00:00,1.767745776010696e-05
NLD,curtailment,power,2024-10-10 05:00:00,1.767745530287289e-05
NLD,curtailment,power,2024-10-10 06:00:00,1.7677438764253026e-05
NLD,curtailment,power,2024-10-10 07:00:00,1.6006563880315537e-05
NLD,curtailment,power,2024-10-10 08:00:00,1.6004059061892114e-05
NLD,curtailment,power,2024-10-10 09:00:00,1.7677429118470155e-05
NLD,curtailment,power,2024-10-10 10:00:00,1.7677456382883972e-05
NLD,curtailment,power,2024-10-10 11:00:00,1.767746367413881e-05
NLD,curtailment,power,2024-10-10 12:00:00,1.7677466397073103e-05
NLD,curtailment,power,2024-10-10 13:00:00,1.7677467046027084e-05
NLD,curtailment,power,2024-10-10 14:00:00,1.767746703748921e-05
NLD,curtailment,power,2024-10-10 15:00:00,1.767746631729317e-05
NLD,curtailment,power,2024-10-10 16:00:00,1.7677465823632936e-05
NLD,curtailment,power,2024-10-10 17:00:00,1.7677462506629146e-05
NLD,curtailment,power,2024-10-10 18:00:00,1.7677453100052067e-05
NLD,curtailment,power,2024-10-10 19:00:00,4.285152201561498e-06
NLD,curtailment,power,2024-10-10 20:00:00,4.285150103217647e-06
NLD,curtailment,power,2024-10-10 21:00:00,4.285150120490397e-06
NLD,curtailment,power,2024-10-10 22:00:00,4.285150711158265e-06
NLD,curtailment,power,2024-10-10 23:00:00,1.6798968116743182e-05
NLD,curtailment,power,2024-10-11 00:00:00,1.6799337577027597e-05
NLD,curtailment,power,2024-10-11 01:00:00,1.6799336432633122e-05
NLD,curtailment,power,2024-10-11 02:00:00,1.6799328683444678e-05
NLD,curtailment,power,2024-10-11 03:00:00,1.679932945541137e-05
NLD,curtailment,power,2024-10-11 04:00:00,1.6799347684073006e-05
NLD,curtailment,power,2024-10-11 05:00:00,1.7675889567138683e-05
NLD,curtailment,power,2024-10-11 06:00:00,1.6005476697576737e-05
NLD,curtailment,power,2024-10-11 07:00:00,4.285151033632951e-06
NLD,curtailment,power,2024-10-11 08:00:00,4.2851507314144144e-06
NLD,curtailment,power,2024-10-11 09:00:00,1.5281168599706046e-05
NLD,curtailment,power,2024-10-11 10:00:00,1.7677442373549047e-05
NLD,curtailment,power,2024-10-11 11:00:00,1.7677448900794805e-05
NLD,curtailment,power,2024-10-11 12:00:00,1.7677452455020295e-05
NLD,curtailment,power,2024-10-11 13:00:00,1.7677457777492793e-05
NLD,curtailment,power,2024-10-11 14:00:00,1.7677460122354077e-05
NLD,curtailment,power,2024-10-11 15:00:00,1.767746280774158e-05
NLD,curtailment,power,2024-10-11 16:00:00,1.7677461372538495e-05
NLD,curtailment,power,2024-10-11 17:00:00,1.7677456033727505e-05
NLD,curtailment,power,2024-10-11 18:00:00,1.767743822589851e-05
NLD,curtailment,power,2024-10-11 19:00:00,1.6799410924273842e-05
NLD,curtailment,power,2024-10-11 20:00:00,1.6799124219163235e-05
NLD,curtailment,power,2024-10-11 21:00:00,1.6799424658764384e-05
NLD,curtailment,power,2024-10-11 22:00:00,1.767743755934489e-05
NLD,curtailment,power,2024-10-11 23:00:00,1.767745404356166e-05
NLD,curtailment,power,2024-10-12 00:00:00,1.767745860243187e-05
NLD,curtailment,power,2024-10-12 01:00:00,1.7677460409512395e-05
NLD,curtailment,power,2024-10-12 02:00:00,1.7677460169918027e-05
NLD,curtailment,power,2024-10-12 03:00:00,1.7677460760583998e-05
NLD,curtailment,power,2024-10-12 04:00:00,1.767746062645908e-05
NLD,curtailment,power,2024-10-12 05:00:00,1.7677459829049634e-05
NLD,curtailment,power,2024-10-12 06:00:00,1.7677458358153746e-05
NLD,curtailment,power,2024-10-12 07:00:00,1.7677455678562822e-05
NLD,curtailment,power,2024-10-12 08:00:00,1.7677449984406738e-05
NLD,curtailment,power,2024-10-12 09:00:00,1.7677446959009965e-05
NLD,curtailment,power,2024-10-12 10:00:00,1.7677451906147282e-05
NLD,curtailment,power,2024-10-12 11:00:00,1.7677453156763213e-05
NLD,curtailment,power,2024-10-12 12:00:00,1.7677450941224696e-05
NLD,curtailment,power,2024-10-12 13:00:00,1.7677450655187877e-05
NLD,curtailment,power,2024-10-12 14:00:00,1.7677452824884157e-05
NLD,curtailment,power,2024-10-12 15:00:00,1.7677455828096853e-05
NLD,curtailment,power,2024-10-12 16:00:00,1.7677456232754497e-05
NLD,curtailment,power,2024-10-12 17:00:00,1.7677451617229088e-05
NLD,curtailment,power,2024-10-12 18:00:00,1.7677434509013202e-05
NLD,curtailment,power,2024-10-12 19:00:00,1.600428504985093e-05
NLD,curtailment,power,2024-10-12 20:00:00,1.679916237099302e-05
NLD,curtailment,power,2024-10-12 21:00:00,1.679913139350205e-05
NLD,curtailment,power,2024-10-12 22:00:00,1.679864945542016e-05
