nodes,techs,carriers,timesteps,flow_out
NLD,ccgt,power,2024-01-04 10:00:00,0.00010650200347992606
NLD,ccgt,power,2024-01-04 11:00:00,0.0001256605777573
NLD,ccgt,power,2024-01-04 12:00:00,0.0001064453376990581
NLD,ccgt,power,2024-01-04 13:00:00,0.00015346346265891764
NLD,ccgt,power,2024-01-04 14:00:00,2018.822167506903
NLD,ccgt,power,2024-01-04 15:00:00,5971.520239501426
NLD,ccgt,power,2024-01-04 16:00:00,9085.595855834194
NLD,ccgt,power,2024-01-04 17:00:00,9258.95289483437
NLD,ccgt,power,2024-01-04 18:00:00,10061.909734500827
NLD,ccgt,power,2024-01-04 19:00:00,10259.537300834168
NLD,ccgt,power,2024-01-04 20:00:00,10441.941159500731
NLD,ccgt,power,2024-01-04 21:00:00,9299.307815500879
NLD,ccgt,power,2024-01-04 22:00:00,6392.121789168078
NLD,ccgt,power,2024-01-04 23:00:00,3597.534347168709
NLD,ccgt,power,2024-01-05 00:00:00,867.5102141763243
NLD,ccgt,power,2024-01-05 01:00:00,0.0001257140833833964
NLD,ccgt,power,2024-01-05 02:00:00,0.0001603799695907987
NLD,ccgt,power,2024-01-05 03:00:00,0.00010589405147600796
NLD,ccgt,power,2024-01-05 04:00:00,0.00012569501936548697
NLD,ccgt,power,2024-01-05 05:00:00,0.00010643999527928244
NLD,ccgt,power,2024-01-05 06:00:00,0.00010645126176196326
NLD,ccgt,power,2024-01-05 07:00:00,0.00015345985529403514
NLD,ccgt,power,2024-01-05 08:00:00,0.00015346367804911464
NLD,ccgt,power,2024-01-05 09:00:00,0.00010644003680125927
NLD,ccgt,power,2024-01-05 10:00:00,0.00010644006301211567
NLD,ccgt,power,2024-01-05 11:00:00,0.00010643999254237625
NLD,ccgt,power,2024-01-05 12:00:00,0.00010643998546404874
NLD,ccgt,power,2024-01-05 13:00:00,0.00010643998923459685
NLD,ccgt,power,2024-01-05 14:00:00,0.00010644006544772988
NLD,ccgt,power,2024-01-05 15:00:00,0.0001064400675410606
NLD,ccgt,power,2024-01-05 16:00:00,0.00010644006471931776
NLD,ccgt,power,2024-01-05 17:00:00,0.00010644004418108866
NLD,ccgt,power,2024-01-05 18:00:00,0.00012570332973974377
NLD,ccgt,power,2024-01-05 19:00:00,0.000125704395867475
NLD,ccgt,power,2024-01-05 20:00:00,0.00012570489313279073
NLD,ccgt,power,2024-01-05 21:00:00,0.00012570832664979617
NLD,ccgt,power,2024-01-05 22:00:00,0.00012569725312807332
NLD,ccgt,power,2024-01-05 23:00:00,0.00010644004475463334
