nodes,techs,carriers,timesteps,capacity_factor
NLD,ccgt,power,2024-01-04 13:00:00,8.285469315350267e-09
NLD,ccgt,power,2024-01-04 14:00:00,0.10899590581507954
NLD,ccgt,power,2024-01-04 15:00:00,0.32240148145456354
NLD,ccgt,power,2024-01-04 16:00:00,0.4905299565832088
NLD,ccgt,power,2024-01-04 17:00:00,0.4998894770993613
NLD,ccgt,power,2024-01-04 18:00:00,0.5432409963557298
NLD,ccgt,power,2024-01-04 19:00:00,0.5539108789997932
NLD,ccgt,power,2024-01-04 20:00:00,0.5637588359518806
NLD,ccgt,power,2024-01-04 21:00:00,0.5020682332092041
NLD,ccgt,power,2024-01-04 22:00:00,0.3451096959922297
NLD,ccgt,power,2024-01-04 23:00:00,0.19423033944329493
NLD,ccgt,power,2024-01-05 00:00:00,0.046836746257225156
NLD,ccgt,power,2024-01-05 01:00:00,6.78728449321868e-09
NLD,ccgt,power,2024-01-05 02:00:00,8.658890486491669e-09
NLD,ccgt,power,2024-01-05 03:00:00,5.717203945362702e-09
NLD,ccgt,power,2024-01-05 04:00:00,6.7862552297531025e-09
NLD,ccgt,power,2024-01-05 05:00:00,5.746679369359812e-09
NLD,ccgt,power,2024-01-05 06:00:00,5.747287645068743e-09
NLD,ccgt,power,2024-01-05 07:00:00,8.285274554261696e-09
NLD,ccgt,power,2024-01-05 08:00:00,8.285480944234675e-09
NLD,ccgt,power,2024-01-05 09:00:00,5.746681611125109e-09
NLD,ccgt,power,2024-01-05 10:00:00,5.746683026245312e-09
NLD,ccgt,power,2024-01-05 11:00:00,5.746679221594658e-09
NLD,ccgt,power,2024-01-05 12:00:00,5.746678839436818e-09
NLD,ccgt,power,2024-01-05 13:00:00,5.7466790430081446e-09
NLD,ccgt,power,2024-01-05 14:00:00,5.746683157743758e-09
NLD,ccgt,power,2024-01-05 15:00:00,5.746683270762369e-09
NLD,ccgt,power,2024-01-05 16:00:00,5.746683118416897e-09
NLD,ccgt,power,2024-01-05 17:00:00,5.74668200956099e-09
NLD,ccgt,power,2024-01-05 18:00:00,6.786703905611908e-09
NLD,ccgt,power,2024-01-05 19:00:00,6.786761465688101e-09
NLD,ccgt,power,2024-01-05 20:00:00,6.786788312967862e-09
NLD,ccgt,power,2024-01-05 21:00:00,6.786973688035643e-09
NLD,ccgt,power,2024-01-05 22:00:00,6.786375830259871e-09
NLD,ccgt,power,2024-01-05 23:00:00,5.746682040526581e-09
NLD,ccgt,power,2024-01-06 00:00:00,5.746683139106204e-09
NLD,ccgt,power,2024-01-06 01:00:00,5.7466833458247025e-09
NLD,ccgt,power,2024-01-06 02:00:00,5.746683320356429e-09
NLD,ccgt,power,2024-01-06 03:00:00,5.746683311376926e-09
NLD,ccgt,power,2024-01-06 04:00:00,5.746683308728949e-09
NLD,ccgt,power,2024-01-06 05:00:00,5.746683306988981e-09
NLD,ccgt,power,2024-01-06 06:00:00,5.746683303245305e-09
NLD,ccgt,power,2024-01-06 07:00:00,5.746683291917716e-09
NLD,ccgt,power,2024-01-06 08:00:00,5.746683262972035e-09
NLD,ccgt,power,2024-01-06 09:00:00,5.746683249829833e-09
NLD,ccgt,power,2024-01-06 10:00:00,5.746679006831358e-09
NLD,ccgt,power,2024-01-06 11:00:00,5.746683296942439e-09
NLD,ccgt,power,2024-01-06 12:00:00,5.746682984359261e-09
NLD,ccgt,power,2024-01-06 13:00:00,5.746683503335758e-09
NLD,ccgt,power,2024-01-06 14:00:00,5.7466791915988894e-09
NLD,ccgt,power,2024-01-06 15:00:00,5.74668328506199e-09
NLD,ccgt,power,2024-01-06 16:00:00,5.746683121095219e-09
NLD,ccgt,power,2024-01-06 17:00:00,5.746681645722737e-09
NLD,ccgt,power,2024-01-06 18:00:00,6.7884569764734285e-09
NLD,ccgt,power,2024-01-06 19:00:00,6.7869316036984365e-09
NLD,ccgt,power,2024-01-06 20:00:00,6.786891854069756e-09
NLD,ccgt,power,2024-01-06 21:00:00,6.787178599646311e-09
NLD,ccgt,power,2024-01-06 22:00:00,6.7870152685874975e-09
NLD,ccgt,power,2024-01-06 23:00:00,6.786905416135924e-09
NLD,ccgt,power,2024-01-07 00:00:00,6.785806716970385e-09
NLD,ccgt,power,2024-01-07 01:00:00,5.746682061222445e-09
NLD,ccgt,power,2024-01-07 02:00:00,5.746683138048437e-09
NLD,ccgt,power,2024-01-07 03:00:00,5.746683346524792e-09
NLD,ccgt,power,2024-01-07 04:00:00,5.746683319679005e-09
NLD,ccgt,power,2024-01-07 05:00:00,5.746683309590598e-09
NLD,ccgt,power,2024-01-07 06:00:00,5.7466833033607844e-09
NLD,ccgt,power,2024-01-07 07:00:00,5.7466832904224745e-09
NLD,ccgt,power,2024-01-07 08:00:00,5.746683258381977e-09
NLD,ccgt,power,2024-01-07 09:00:00,5.7466832356536525e-09
NLD,ccgt,power,2024-01-07 10:00:00,5.7466790383282685e-09
NLD,ccgt,power,2024-01-07 11:00:00,5.7466834718075664e-09
NLD,ccgt,power,2024-01-07 12:00:00,5.746683198453097e-09
NLD,ccgt,power,2024-01-07 13:00:00,5.746678486624764e-09
NLD,ccgt,power,2024-01-07 14:00:00,5.74667918199722e-09
NLD,ccgt,power,2024-01-07 15:00:00,5.746683040291121e-09
NLD,ccgt,power,2024-01-07 16:00:00,5.746681012796673e-09
NLD,ccgt,power,2024-01-07 17:00:00,5.746835617393477e-09
NLD,ccgt,power,2024-01-07 18:00:00,1.0636807224850758e-08
NLD,ccgt,power,2024-01-07 19:00:00,0.01917045912165911
NLD,ccgt,power,2024-01-07 20:00:00,0.10678438780026293
NLD,ccgt,power,2024-01-07 21:00:00,0.12767403346485298
NLD,ccgt,power,2024-01-07 22:00:00,0.024200340780518616
NLD,ccgt,power,2024-01-07 23:00:00,5.750504695299089e-09
NLD,ccgt,power,2024-01-08 00:00:00,6.78391524152835e-09
NLD,ccgt,power,2024-01-08 01:00:00,6.786589271514768e-09
NLD,ccgt,power,2024-01-08 02:00:00,6.7864489910900575e-09
NLD,ccgt,power,2024-01-08 03:00:00,7.452876485546156e-09
NLD,ccgt,power,2024-01-08 04:00:00,5.74677062693591e-09
NLD,ccgt,power,2024-01-08 05:00:00,5.746745869540421e-09
NLD,ccgt,power,2024-01-08 06:00:00,0.007186753261289838
NLD,ccgt,power,2024-01-08 07:00:00,0.28012437756009245
NLD,ccgt,power,2024-01-08 08:00:00,0.24698993032640218
NLD,ccgt,power,2024-01-08 09:00:00,1.0637014891825504e-08
NLD,ccgt,power,2024-01-08 10:00:00,5.746679511027959e-09
NLD,ccgt,power,2024-01-08 11:00:00,5.746682415406487e-09
NLD,ccgt,power,2024-01-08 12:00:00,5.746682458120096e-09
NLD,ccgt,power,2024-01-08 13:00:00,5.7466800264352645e-09
NLD,ccgt,power,2024-01-08 14:00:00,5.746741652965573e-09
NLD,ccgt,power,2024-01-08 15:00:00,0.22915862589466368
NLD,ccgt,power,2024-01-08 16:00:00,0.5905215204711708
NLD,ccgt,power,2024-01-08 17:00:00,0.6866005793561042
NLD,ccgt,power,2024-01-08 18:00:00,0.78796325908829
NLD,ccgt,power,2024-01-08 19:00:00,0.883444160682739
NLD,ccgt,power,2024-01-08 20:00:00,0.9730565140817818
NLD,ccgt,power,2024-01-08 21:00:00,0.9723496844377717
NLD,ccgt,power,2024-01-08 22:00:00,0.7903961262912494
NLD,ccgt,power,2024-01-08 23:00:00,0.580412780054396
NLD,ccgt,power,2024-01-09 00:00:00,0.42788865238641777
NLD,ccgt,power,2024-01-09 01:00:00,0.31871324470907564
NLD,ccgt,power,2024-01-09 02:00:00,0.2597492092917456
NLD,ccgt,power,2024-01-09 03:00:00,0.24754425419330692
NLD,ccgt,power,2024-01-09 04:00:00,0.2617755102851574
NLD,ccgt,power,2024-01-09 05:00:00,0.29555868290870135
NLD,ccgt,power,2024-01-09 06:00:00,0.4549904700806903
NLD,ccgt,power,2024-01-09 07:00:00,0.694307685662094
NLD,ccgt,power,2024-01-09 08:00:00,0.6708286810009846
NLD,ccgt,power,2024-01-09 09:00:00,0.4975141121099782
NLD,ccgt,power,2024-01-09 10:00:00,0.3271227205936098
NLD,ccgt,power,2024-01-09 11:00:00,0.23380656818028558
NLD,ccgt,power,2024-01-09 12:00:00,0.27962476857260027
NLD,ccgt,power,2024-01-09 13:00:00,0.44755960104206816
NLD,ccgt,power,2024-01-09 14:00:00,0.6497663336842967
NLD,ccgt,power,2024-01-09 15:00:00,0.8383160110768834
NLD,ccgt,power,2024-01-09 16:00:00,0.9586900020421844
