nodes,techs,costs,timesteps,cost_operation_variable
NLD,ccgt,monetary,2024-01-04 14:00:00,100.47359166286988
NLD,ccgt,monetary,2024-01-04 15:00:00,297.19313360381835
NLD,ccgt,monetary,2024-01-04 16:00:00,452.1757600672007
NLD,ccgt,monetary,2024-01-04 17:00:00,460.80346617659904
NLD,ccgt,monetary,2024-01-04 18:00:00,500.76536026020955
NLD,ccgt,monetary,2024-01-04 19:00:00,510.60097219309426
NLD,ccgt,monetary,2024-01-04 20:00:00,519.6789242328365
NLD,ccgt,monetary,2024-01-04 21:00:00,462.81186685987535
NLD,ccgt,monetary,2024-01-04 22:00:00,318.1258086230176
NLD,ccgt,monetary,2024-01-04 23:00:00,179.04360414119637
NLD,ccgt,monetary,2024-01-05 00:00:00,43.17461360658591
NLD,ccgt,monetary,2024-01-05 01:00:00,6.256591434070508e-06
NLD,ccgt,monetary,2024-01-05 02:00:00,7.981857855003119e-06
NLD,ccgt,monetary,2024-01-05 03:00:00,5.270179740827007e-06
NLD,ccgt,monetary,2024-01-05 04:00:00,6.255642648000236e-06
NLD,ccgt,monetary,2024-01-05 05:00:00,5.297350501899447e-06
NLD,ccgt,monetary,2024-01-05 06:00:00,5.297911216953288e-06
NLD,ccgt,monetary,2024-01-05 07:00:00,7.637454692949453e-06
NLD,ccgt,monetary,2024-01-05 08:00:00,7.637644945433832e-06
NLD,ccgt,monetary,2024-01-05 09:00:00,5.297352568382672e-06
NLD,ccgt,monetary,2024-01-05 10:00:00,5.29735387285561e-06
NLD,ccgt,monetary,2024-01-05 11:00:00,5.297350365687947e-06
NLD,ccgt,monetary,2024-01-05 12:00:00,5.297350013410764e-06
NLD,ccgt,monetary,2024-01-05 13:00:00,5.297350201064989e-06
NLD,ccgt,monetary,2024-01-05 14:00:00,5.297353994072283e-06
NLD,ccgt,monetary,2024-01-05 15:00:00,5.297354098254047e-06
NLD,ccgt,monetary,2024-01-05 16:00:00,5.297353957820362e-06
NLD,ccgt,monetary,2024-01-05 17:00:00,5.297352935665129e-06
NLD,ccgt,monetary,2024-01-05 18:00:00,6.256056242205353e-06
NLD,ccgt,monetary,2024-01-05 19:00:00,6.256109301699177e-06
NLD,ccgt,monetary,2024-01-05 20:00:00,6.256134049808786e-06
NLD,ccgt,monetary,2024-01-05 21:00:00,6.256304930528803e-06
NLD,ccgt,monetary,2024-01-05 22:00:00,6.255753818837165e-06
NLD,ccgt,monetary,2024-01-05 23:00:00,5.297352964209542e-06
NLD,ccgt,monetary,2024-01-06 00:00:00,5.297353976891986e-06
NLD,ccgt,monetary,2024-01-06 01:00:00,5.297354167447309e-06
NLD,ccgt,monetary,2024-01-06 02:00:00,5.297354143970383e-06
NLD,ccgt,monetary,2024-01-06 03:00:00,5.297354135692982e-06
NLD,ccgt,monetary,2024-01-06 04:00:00,5.297354133252047e-06
NLD,ccgt,monetary,2024-01-06 05:00:00,5.297354131648127e-06
NLD,ccgt,monetary,2024-01-06 06:00:00,5.2973541281971655e-06
NLD,ccgt,monetary,2024-01-06 07:00:00,5.297354117755273e-06
NLD,ccgt,monetary,2024-01-06 08:00:00,5.2973540910728346e-06
NLD,ccgt,monetary,2024-01-06 09:00:00,5.297354078958212e-06
NLD,ccgt,monetary,2024-01-06 10:00:00,5.29735016771684e-06
NLD,ccgt,monetary,2024-01-06 11:00:00,5.297354122387116e-06
NLD,ccgt,monetary,2024-01-06 12:00:00,5.297353834244601e-06
NLD,ccgt,monetary,2024-01-06 13:00:00,5.297354312642685e-06
NLD,ccgt,monetary,2024-01-06 14:00:00,5.2973503380375265e-06
NLD,ccgt,monetary,2024-01-06 15:00:00,5.297354111435591e-06
NLD,ccgt,monetary,2024-01-06 16:00:00,5.297353960289268e-06
NLD,ccgt,monetary,2024-01-06 17:00:00,5.297352600275135e-06
NLD,ccgt,monetary,2024-01-06 18:00:00,6.257672241674134e-06
NLD,ccgt,monetary,2024-01-06 19:00:00,6.256266136736686e-06
NLD,ccgt,monetary,2024-01-06 20:00:00,6.256229495103856e-06
NLD,ccgt,monetary,2024-01-06 21:00:00,6.256493820242994e-06
NLD,ccgt,monetary,2024-01-06 22:00:00,6.256343259926196e-06
NLD,ccgt,monetary,2024-01-06 23:00:00,6.2562419967614934e-06
NLD,ccgt,monetary,2024-01-07 00:00:00,6.255229204120401e-06
NLD,ccgt,monetary,2024-01-07 01:00:00,5.297352983287211e-06
NLD,ccgt,monetary,2024-01-07 02:00:00,5.297353975916926e-06
NLD,ccgt,monetary,2024-01-07 03:00:00,5.2973541680926595e-06
NLD,ccgt,monetary,2024-01-07 04:00:00,5.297354143345925e-06
NLD,ccgt,monetary,2024-01-07 05:00:00,5.297354134046324e-06
NLD,ccgt,monetary,2024-01-07 06:00:00,5.2973541283036155e-06
NLD,ccgt,monetary,2024-01-07 07:00:00,5.2973541163769435e-06
NLD,ccgt,monetary,2024-01-07 08:00:00,5.2973540868416695e-06
NLD,ccgt,monetary,2024-01-07 09:00:00,5.297354065890458e-06
NLD,ccgt,monetary,2024-01-07 10:00:00,5.29735019675103e-06
NLD,ccgt,monetary,2024-01-07 11:00:00,5.297354283579661e-06
NLD,ccgt,monetary,2024-01-07 12:00:00,5.297354031598587e-06
NLD,ccgt,monetary,2024-01-07 13:00:00,5.297349688184838e-06
NLD,ccgt,monetary,2024-01-07 14:00:00,5.297350329186606e-06
NLD,ccgt,monetary,2024-01-07 15:00:00,5.297353885803187e-06
NLD,ccgt,monetary,2024-01-07 16:00:00,5.297352016837121e-06
NLD,ccgt,monetary,2024-01-07 17:00:00,5.2974945330079105e-06
NLD,ccgt,monetary,2024-01-07 18:00:00,9.80512265772154e-06
NLD,ccgt,monetary,2024-01-07 19:00:00,17.671534241360817
NLD,ccgt,monetary,2024-01-07 20:00:00,98.43499070520875
NLD,ccgt,monetary,2024-01-07 21:00:00,117.69128948809094
NLD,ccgt,monetary,2024-01-07 22:00:00,22.308132947758196
NLD,ccgt,monetary,2024-01-07 23:00:00,5.3008767282611265e-06
NLD,ccgt,monetary,2024-01-08 00:00:00,6.2534856218291e-06
NLD,ccgt,monetary,2024-01-08 01:00:00,6.2559505712686275e-06
NLD,ccgt,monetary,2024-01-08 02:00:00,6.255821259272868e-06
NLD,ccgt,monetary,2024-01-08 03:00:00,6.8701412509291765e-06
NLD,ccgt,monetary,2024-01-08 04:00:00,5.29743462410907e-06
NLD,ccgt,monetary,2024-01-08 05:00:00,5.297411802477133e-06
NLD,ccgt,monetary,2024-01-08 06:00:00,6.624826016691851
NLD,ccgt,monetary,2024-01-08 07:00:00,258.22164709139423
NLD,ccgt,monetary,2024-01-08 08:00:00,227.67795926718503
NLD,ccgt,monetary,2024-01-08 09:00:00,9.805314087359804e-06
NLD,ccgt,monetary,2024-01-08 10:00:00,5.29735063249066e-06
NLD,ccgt,monetary,2024-01-08 11:00:00,5.297353309777848e-06
NLD,ccgt,monetary,2024-01-08 12:00:00,5.29735334915171e-06
NLD,ccgt,monetary,2024-01-08 13:00:00,5.297351107598626e-06
NLD,ccgt,monetary,2024-01-08 14:00:00,5.2974079155933435e-06
