nodes,techs,carriers,timesteps,flow_in_inc_eff
NLD,curtailment,power,2024-01-04 23:00:00,0.00010644052978243251
NLD,curtailment,power,2024-01-05 00:00:00,0.00010644250137510983
NLD,curtailment,power,2024-01-05 01:00:00,0.0006942275206977822
NLD,curtailment,power,2024-01-05 02:00:00,0.00031840991968504206
NLD,curtailment,power,2024-01-05 03:00:00,12.381730547673225
NLD,curtailment,power,2024-01-05 04:00:00,0.0006955527438711195
NLD,curtailment,power,2024-01-05 05:00:00,142.84682104038194
NLD,curtailment,power,2024-01-05 06:00:00,247.13642211268746
NLD,curtailment,power,2024-01-05 07:00:00,0.0003474931051375696
NLD,curtailment,power,2024-01-05 08:00:00,0.0003475748012244928
NLD,curtailment,power,2024-01-05 09:00:00,2344.1413380902177
NLD,curtailment,power,2024-01-05 10:00:00,9212.264713484208
NLD,curtailment,power,2024-01-05 11:00:00,14551.773287809638
NLD,curtailment,power,2024-01-05 12:00:00,16777.19937547575
NLD,curtailment,power,2024-01-05 13:00:00,15727.191748141819
NLD,curtailment,power,2024-01-05 14:00:00,12444.465833145761
NLD,curtailment,power,2024-01-05 15:00:00,7685.496769146778
NLD,curtailment,power,2024-01-05 16:00:00,2503.888017813677
NLD,curtailment,power,2024-01-05 17:00:00,557.5790118587963
NLD,curtailment,power,2024-01-05 18:00:00,0.0006946806014073159
NLD,curtailment,power,2024-01-05 19:00:00,0.0006945824386486166
NLD,curtailment,power,2024-01-05 20:00:00,0.0006945338772034737
NLD,curtailment,power,2024-01-05 21:00:00,0.0006941901087931801
NLD,curtailment,power,2024-01-05 22:00:00,0.0006951738714519318
NLD,curtailment,power,2024-01-05 23:00:00,1443.6136428292025
NLD,curtailment,power,2024-01-06 00:00:00,2502.024451480734
NLD,curtailment,power,2024-01-06 01:00:00,3541.919186480084
NLD,curtailment,power,2024-01-06 02:00:00,4090.3129968122835
NLD,curtailment,power,2024-01-06 03:00:00,5317.1958568112095
NLD,curtailment,power,2024-01-06 04:00:00,6204.4588178105305
NLD,curtailment,power,2024-01-06 05:00:00,6500.983103143506
NLD,curtailment,power,2024-01-06 06:00:00,6355.865509143313
NLD,curtailment,power,2024-01-06 07:00:00,5825.295660809883
NLD,curtailment,power,2024-01-06 08:00:00,8246.714111809824
NLD,curtailment,power,2024-01-06 09:00:00,12953.731664809593
NLD,curtailment,power,2024-01-06 10:00:00,18808.052933470717
NLD,curtailment,power,2024-01-06 11:00:00,22801.383893136517
NLD,curtailment,power,2024-01-06 12:00:00,23966.4703624703
NLD,curtailment,power,2024-01-06 13:00:00,21957.695764472217
NLD,curtailment,power,2024-01-06 14:00:00,17644.384240141862
NLD,curtailment,power,2024-01-06 15:00:00,11124.963067813558
NLD,curtailment,power,2024-01-06 16:00:00,3108.420265144008
NLD,curtailment,power,2024-01-06 17:00:00,474.9979529384117
NLD,curtailment,power,2024-01-06 18:00:00,0.0006892126812236832
NLD,curtailment,power,2024-01-06 19:00:00,0.0006943035745094472
NLD,curtailment,power,2024-01-06 20:00:00,0.0006944389877942547
NLD,curtailment,power,2024-01-06 21:00:00,0.0006942974589219664
NLD,curtailment,power,2024-01-06 22:00:00,0.0006942167697131518
NLD,curtailment,power,2024-01-06 23:00:00,0.0006943175074091701
NLD,curtailment,power,2024-01-07 00:00:00,0.0006958820625269646
NLD,curtailment,power,2024-01-07 01:00:00,1607.5908948202386
NLD,curtailment,power,2024-01-07 02:00:00,2711.5518741471005
NLD,curtailment,power,2024-01-07 03:00:00,3232.221279813745
NLD,curtailment,power,2024-01-07 04:00:00,3269.2015071458313
NLD,curtailment,power,2024-01-07 05:00:00,2910.6168338113825
NLD,curtailment,power,2024-01-07 06:00:00,2072.701909144012
NLD,curtailment,power,2024-01-07 07:00:00,864.6215014769817
NLD,curtailment,power,2024-01-07 08:00:00,4525.838083143505
NLD,curtailment,power,2024-01-07 09:00:00,11245.49598014331
NLD,curtailment,power,2024-01-07 10:00:00,18228.428847471514
NLD,curtailment,power,2024-01-07 11:00:00,21961.54918747126
NLD,curtailment,power,2024-01-07 12:00:00,23080.02512213924
NLD,curtailment,power,2024-01-07 13:00:00,21285.34098380781
NLD,curtailment,power,2024-01-07 14:00:00,16530.008910138964
NLD,curtailment,power,2024-01-07 15:00:00,9262.202222329968
NLD,curtailment,power,2024-01-07 16:00:00,1564.6818746426977
NLD,curtailment,power,2024-01-07 17:00:00,587.5661377734341
NLD,curtailment,power,2024-01-07 18:00:00,0.00023153066461323313
NLD,curtailment,power,2024-01-07 19:00:00,0.00010644589264095783
NLD,curtailment,power,2024-01-07 20:00:00,0.00010644106442572743
NLD,curtailment,power,2024-01-07 21:00:00,0.00010644085280587731
NLD,curtailment,power,2024-01-07 22:00:00,0.00010644478327213186
NLD,curtailment,power,2024-01-07 23:00:00,29.079861758999353
NLD,curtailment,power,2024-01-08 00:00:00,0.0006982399765556035
NLD,curtailment,power,2024-01-08 01:00:00,0.0006949141890966182
NLD,curtailment,power,2024-01-08 02:00:00,0.0006950666410677764
NLD,curtailment,power,2024-01-08 03:00:00,0.0055534821556904035
NLD,curtailment,power,2024-01-08 04:00:00,1241.6250117143877
NLD,curtailment,power,2024-01-08 05:00:00,1659.9903249317197
NLD,curtailment,power,2024-01-08 06:00:00,0.00010645521086930648
NLD,curtailment,power,2024-01-08 07:00:00,0.00010644025380361286
NLD,curtailment,power,2024-01-08 08:00:00,0.00010644034913602149
NLD,curtailment,power,2024-01-08 09:00:00,0.00023152280150961352
NLD,curtailment,power,2024-01-08 10:00:00,4353.525870218578
NLD,curtailment,power,2024-01-08 11:00:00,5207.910246750119
NLD,curtailment,power,2024-01-08 12:00:00,4243.041247440114
NLD,curtailment,power,2024-01-08 13:00:00,3908.986336104451
NLD,curtailment,power,2024-01-08 14:00:00,1080.676014321436
NLD,curtailment,power,2024-01-08 15:00:00,0.00010644052714693653
NLD,curtailment,power,2024-01-08 16:00:00,0.00010643976052452514
NLD,curtailment,power,2024-01-08 17:00:00,0.00010643979870488332
NLD,curtailment,power,2024-01-08 18:00:00,0.00010643952940675785
NLD,curtailment,power,2024-01-08 19:00:00,0.00010643917239820666
NLD,curtailment,power,2024-01-08 20:00:00,0.00010643422813346945
NLD,curtailment,power,2024-01-08 21:00:00,0.00010643422012169071
NLD,curtailment,power,2024-01-08 22:00:00,0.00010643949858619647
NLD,curtailment,power,2024-01-08 23:00:00,0.00010644001727760921
NLD,curtailment,power,2024-01-09 00:00:00,0.00010644019919318903
NLD,curtailment,power,2024-01-09 01:00:00,0.00010644029363847743
NLD,curtailment,power,2024-01-09 02:00:00,0.0001064403883194922
NLD,curtailment,power,2024-01-09 03:00:00,0.00010644041243411395
NLD,curtailment,power,2024-01-09 04:00:00,0.0001064403785291726
NLD,curtailment,power,2024-01-09 05:00:00,0.00010644034385178837
NLD,curtailment,power,2024-01-09 06:00:00,0.00010644019262618515
NLD,curtailment,power,2024-01-09 07:00:00,0.00010643960688178078
NLD,curtailment,power,2024-01-09 08:00:00,0.00010643973209686908
NLD,curtailment,power,2024-01-09 09:00:00,0.00010644010014320901
NLD,curtailment,power,2024-01-09 10:00:00,0.00010644029405654752
NLD,curtailment,power,2024-01-09 11:00:00,0.0001064404610781871
NLD,curtailment,power,2024-01-09 12:00:00,0.00010644037005768867
NLD,curtailment,power,2024-01-09 13:00:00,0.00010644017667197497
NLD,curtailment,power,2024-01-09 14:00:00,0.00010643985460114316
NLD,curtailment,power,2024-01-09 15:00:00,0.00010643927250658311
NLD,curtailment,power,2024-01-09 16:00:00,0.00010643554986890236
NLD,curtailment,power,2024-01-09 17:00:00,0.00010642977764695541
NLD,curtailment,power,2024-01-09 18:00:00,0.0
NLD,curtailment,power,2024-01-09 19:00:00,0.0
NLD,curtailment,power,2024-01-09 20:00:00,0.0
NLD,curtailment,power,2024-01-09 21:00:00,0.0
NLD,curtailment,power,2024-01-09 22:00:00,0.00010643937162932784
NLD,curtailment,power,2024-01-09 23:00:00,0.0001064399829429491
NLD,curtailment,power,2024-01-10 00:00:00,0.00010644014544413521
NLD,curtailment,power,2024-01-10 01:00:00,0.00010644027433705933
NLD,curtailment,power,2024-01-10 02:00:00,0.00010644043587960603
NLD,curtailment,power,2024-01-10 03:00:00,0.00010644053664766312
NLD,curtailment,power,2024-01-10 04:00:00,0.00010644056910496386
