nodes,NLD,NLD
techs,solar_pv,wind_onshore
2025-09-01 00:00:00,0.010185130098061785,0.3442097689832963
2025-09-01 01:00:00,0.004022318045075829,0.3269209284290501
2025-09-01 02:00:00,0.004300388263626087,0.30953527048887325
2025-09-01 03:00:00,0.004061118540687493,0.3013429625635402
2025-09-01 04:00:00,0.00393825030458389,0.2989417338673032
2025-09-01 05:00:00,0.0014485518361687872,0.29469546145783476
2025-09-01 06:00:00,0.0013450838478710166,0.29497797677109777
2025-09-01 07:00:00,0.002683700946473423,0.2782242370632464
2025-09-01 08:00:00,0.09298538773335265,0.25215055164098804
2025-09-01 09:00:00,0.28016544531328813,0.22116341417605256
2025-09-01 10:00:00,0.4486048635127899,0.17864955499142698
2025-09-01 11:00:00,0.5320453293256732,0.13908844431788578
2025-09-01 12:00:00,0.5089719679352704,0.14472414921267712
2025-09-01 13:00:00,0.5052147866102076,0.15138697872804494
2025-09-01 14:00:00,0.48432718647259515,0.15484017255063526
2025-09-01 15:00:00,0.47389631990232617,0.16102388323750552
2025-09-01 16:00:00,0.44552022411166264,0.17083588301939379
2025-09-01 17:00:00,0.4366995781092777,0.1876320939334638
2025-09-01 18:00:00,0.36568173764139544,0.24295105208629955
2025-09-01 19:00:00,0.22677596335163852,0.2868507994401798
2025-09-01 20:00:00,0.08437814445683185,0.2817190235863632
2025-09-01 21:00:00,0.011090474995667277,0.2612542940752364
2025-09-01 22:00:00,0.012286823610360249,0.26533495301509213
2025-09-01 23:00:00,0.011575481190813076,0.24328549011529632
2025-09-02 00:00:00,0.015526664993934187,0.2057466692516949
2025-09-02 01:00:00,0.015086926043668663,0.17804350723706933
2025-09-02 02:00:00,0.017052817821326303,0.1787288325568151
2025-09-02 03:00:00,0.01396817842019902,0.1750280515955481
2025-09-02 04:00:00,0.013392637735292671,0.17982075454550964
2025-09-02 05:00:00,0.006369748029581498,0.1834574045912525
2025-09-02 06:00:00,0.005257467155380465,0.20536521602152039
2025-09-02 07:00:00,0.005348001645141013,0.21331054267417135
2025-09-02 08:00:00,0.0843393439612202,0.20558529684404403
2025-09-02 09:00:00,0.2655570587154966,0.17714588647282994
2025-09-02 10:00:00,0.437475588021511,0.1642726275802318
2025-09-02 11:00:00,0.5211617903066015,0.14966492581170898
2025-09-02 12:00:00,0.5205086486304717,0.1345657152550999
2025-09-02 13:00:00,0.4681085793069196,0.13194543570852998
2025-09-02 14:00:00,0.48011733269872964,0.12022189842050736
2025-09-02 15:00:00,0.43412581190037064,0.14147301169927237
2025-09-02 16:00:00,0.4357360324682547,0.1661158234021799
2025-09-02 17:00:00,0.43245739058906907,0.18768704597917035
2025-09-02 18:00:00,0.41986662976308414,0.17028160651427118
2025-09-02 19:00:00,0.22733210378873905,0.17294484195985532
2025-09-02 20:00:00,0.07690258230231793,0.15304377987676687
2025-09-02 21:00:00,0.01418158114606317,0.1523367948477156
2025-09-02 22:00:00,0.012034620388884433,0.15653062955535496
2025-09-02 23:00:00,0.01063133579759592,0.16128340593627502
2025-09-03 00:00:00,0.01436265012558427,0.16058366100585872
2025-09-03 01:00:00,0.013230969003577404,0.15679793763215452
2025-09-03 02:00:00,0.01447905161241926,0.16169615214506855
2025-09-03 03:00:00,0.013004632779176031,0.17047402955414323
2025-09-03 04:00:00,0.012558427079641896,0.17717590713286036
2025-09-03 05:00:00,0.010049328363420961,0.17694879826479978
2025-09-03 06:00:00,0.007126357694008944,0.1832998794326671
2025-09-03 07:00:00,0.00836150680431358,0.19457141039544873
2025-09-03 08:00:00,0.09403300111486756,0.20361492974983794
2025-09-03 09:00:00,0.2941012899871441,0.18235027536609455
2025-09-03 10:00:00,0.4843918539652813,0.12575602988131085
2025-09-03 11:00:00,0.5211100563124526,0.13777038284672197
2025-09-03 12:00:00,0.5411440455466084,0.12991242207048645
2025-09-03 13:00:00,0.49115607370024805,0.12301439537603073
2025-09-03 14:00:00,0.48311790435936497,0.13800409565412322
2025-09-03 15:00:00,0.496588143085881,0.13320360732613162
2025-09-03 16:00:00,0.47610794815219104,0.1504430395085215
2025-09-03 17:00:00,0.47798977218935673,0.14238992929543845
2025-09-03 18:00:00,0.405685048617021,0.1869517064215737
2025-09-03 19:00:00,0.25368410705832745,0.18977540547581687
2025-09-03 20:00:00,0.08004542244686272,0.18355819039944746
2025-09-03 21:00:00,0.01112927549127894,0.16630403567338978
2025-09-03 22:00:00,0.012260956613285806,0.16477752600679782
2025-09-03 23:00:00,0.012144555126450815,0.16015797955808136
2025-09-04 00:00:00,0.013929377924587356,0.15836273802960263
2025-09-04 01:00:00,0.01694288308375992,0.17425629949167845
2025-09-04 02:00:00,0.01684588184473076,0.17501378345137625
2025-09-04 03:00:00,0.015203327530503656,0.18518288065045774
2025-09-04 04:00:00,0.014504918609493704,0.18360496325422743
2025-09-04 05:00:00,0.012183355622062478,0.18748395969779405
2025-09-04 06:00:00,0.008031702591614436,0.1874944108862002
2025-09-04 07:00:00,0.004940596441218542,0.18249674347027925
2025-09-04 08:00:00,0.08618883425204284,0.16518163862516888
2025-09-04 09:00:00,0.28119365844699723,0.12844443905896896
2025-09-04 10:00:00,0.4398294847552852,0.10173998654977492
2025-09-04 11:00:00,0.535686109163901,0.09676582673444287
2025-09-04 12:00:00,0.5122958770593362,0.0878063712867988
2025-09-04 13:00:00,0.5369018580263998,0.08308767486807268
2025-09-04 14:00:00,0.5210453888197665,0.09426650833368676
2025-09-04 15:00:00,0.5310882504339188,0.11197312378448136
2025-09-04 16:00:00,0.5034622975584141,0.12786889665743734
