nodes,NLD
techs,demand_power
2025-09-08 08:00:00,29350.417
2025-09-08 09:00:00,30089.5
2025-09-08 10:00:00,30635.417
2025-09-08 11:00:00,30895.417
2025-09-08 12:00:00,31251.833
2025-09-08 13:00:00,31563.167
2025-09-08 14:00:00,31220.667
2025-09-08 15:00:00,30592.0
2025-09-08 16:00:00,30611.833
2025-09-08 17:00:00,30617.833
2025-09-08 18:00:00,30698.833
2025-09-08 19:00:00,30730.083
2025-09-08 20:00:00,31687.917
2025-09-08 21:00:00,31861.5
2025-09-08 22:00:00,29121.917
2025-09-08 23:00:00,26816.333
2025-09-09 00:00:00,25443.917
2025-09-09 01:00:00,24271.333
2025-09-09 02:00:00,23376.083
2025-09-09 03:00:00,22907.25
2025-09-09 04:00:00,22767.25
2025-09-09 05:00:00,23197.833
2025-09-09 06:00:00,25476.083
2025-09-09 07:00:00,28285.833
2025-09-09 08:00:00,29778.5
2025-09-09 09:00:00,30109.667
2025-09-09 10:00:00,30512.917
2025-09-09 11:00:00,30233.0
2025-09-09 12:00:00,29945.833
2025-09-09 13:00:00,30100.917
2025-09-09 14:00:00,29494.917
2025-09-09 15:00:00,28968.083
2025-09-09 16:00:00,28867.25
2025-09-09 17:00:00,29280.417
2025-09-09 18:00:00,29765.917
2025-09-09 19:00:00,30283.667
2025-09-09 20:00:00,31627.167
2025-09-09 21:00:00,31963.833
2025-09-09 22:00:00,29046.167
2025-09-09 23:00:00,26503.417
2025-09-10 00:00:00,25041.083
2025-09-10 01:00:00,23927.25
2025-09-10 02:00:00,22864.333
2025-09-10 03:00:00,22361.333
2025-09-10 04:00:00,22346.0
2025-09-10 05:00:00,22851.083
2025-09-10 06:00:00,25280.75
2025-09-10 07:00:00,28327.333
2025-09-10 08:00:00,29432.417
2025-09-10 09:00:00,29666.333
2025-09-10 10:00:00,29256.25
2025-09-10 11:00:00,28982.417
2025-09-10 12:00:00,29211.083
2025-09-10 13:00:00,29519.5
2025-09-10 14:00:00,28786.833
2025-09-10 15:00:00,28114.833
2025-09-10 16:00:00,28083.667
2025-09-10 17:00:00,28850.917
2025-09-10 18:00:00,29540.833
2025-09-10 19:00:00,30465.75
2025-09-10 20:00:00,31910.167
2025-09-10 21:00:00,32201.167
2025-09-10 22:00:00,29258.5
2025-09-10 23:00:00,26745.083
2025-09-11 00:00:00,25355.833
2025-09-11 01:00:00,24217.25
2025-09-11 02:00:00,23246.083
2025-09-11 03:00:00,22768.667
2025-09-11 04:00:00,22494.5
2025-09-11 05:00:00,22708.167
2025-09-11 06:00:00,24634.333
2025-09-11 07:00:00,27140.75
2025-09-11 08:00:00,28196.167
2025-09-11 09:00:00,28372.833
2025-09-11 10:00:00,28324.417
2025-09-11 11:00:00,27970.083
2025-09-11 12:00:00,27985.5
2025-09-11 13:00:00,28232.333
2025-09-11 14:00:00,28129.0
2025-09-11 15:00:00,27445.5
2025-09-11 16:00:00,27646.75
2025-09-11 17:00:00,28409.417
2025-09-11 18:00:00,29258.083
2025-09-11 19:00:00,30122.75
2025-09-11 20:00:00,31484.75
2025-09-11 21:00:00,31889.833
2025-09-11 22:00:00,29306.917
2025-09-11 23:00:00,26899.833
2025-09-12 00:00:00,25356.417
2025-09-12 01:00:00,24170.417
2025-09-12 02:00:00,23190.083
2025-09-12 03:00:00,22664.083
2025-09-12 04:00:00,22421.25
2025-09-12 05:00:00,22801.417
2025-09-12 06:00:00,25057.417
2025-09-12 07:00:00,28091.5
2025-09-12 08:00:00,29328.833
2025-09-12 09:00:00,29739.75
2025-09-12 10:00:00,29733.833
2025-09-12 11:00:00,29549.333
2025-09-12 12:00:00,29659.333
2025-09-12 13:00:00,29936.417
2025-09-12 14:00:00,29592.333
2025-09-12 15:00:00,28954.75
2025-09-12 16:00:00,28869.333
2025-09-12 17:00:00,29500.417
2025-09-12 18:00:00,30071.083
2025-09-12 19:00:00,30455.75
2025-09-12 20:00:00,31494.667
2025-09-12 21:00:00,31518.833
2025-09-12 22:00:00,28795.667
2025-09-12 23:00:00,26691.833
2025-09-13 00:00:00,25455.25
2025-09-13 01:00:00,24044.333
2025-09-13 02:00:00,22927.833
2025-09-13 03:00:00,22383.333
2025-09-13 04:00:00,21990.333
2025-09-13 05:00:00,21812.917
2025-09-13 06:00:00,22296.833
2025-09-13 07:00:00,23182.5
2025-09-13 08:00:00,23806.833
2025-09-13 09:00:00,24890.083
2025-09-13 10:00:00,25492.167
2025-09-13 11:00:00,25549.417
2025-09-13 12:00:00,25737.5
2025-09-13 13:00:00,26155.417
2025-09-13 14:00:00,26079.833
2025-09-13 15:00:00,25138.167
2025-09-13 16:00:00,25083.333
2025-09-13 17:00:00,25822.417
2025-09-13 18:00:00,26330.417
2025-09-13 19:00:00,27090.25
2025-09-13 20:00:00,28401.25
2025-09-13 21:00:00,28890.917
2025-09-13 22:00:00,26883.833
2025-09-13 23:00:00,24971.833
2025-09-14 00:00:00,23650.0
2025-09-14 01:00:00,22365.583
2025-09-14 02:00:00,21381.833
2025-09-14 03:00:00,20712.583
2025-09-14 04:00:00,20316.833
2025-09-14 05:00:00,20355.583
2025-09-14 06:00:00,20636.583
2025-09-14 07:00:00,20947.0
2025-09-14 08:00:00,21101.083
2025-09-14 09:00:00,21881.5
2025-09-14 10:00:00,22716.417
2025-09-14 11:00:00,22934.5
2025-09-14 12:00:00,23328.833
2025-09-14 13:00:00,23912.333
2025-09-14 14:00:00,24155.0
2025-09-14 15:00:00,23379.417
2025-09-14 16:00:00,23349.0
2025-09-14 17:00:00,24240.0
2025-09-14 18:00:00,25385.0
2025-09-14 19:00:00,26591.333
2025-09-14 20:00:00,28274.667
2025-09-14 21:00:00,29261.917
2025-09-14 22:00:00,27808.083
2025-09-14 23:00:00,25705.833
2025-09-15 00:00:00,24006.833
2025-09-15 01:00:00,22542.75
2025-09-15 02:00:00,21752.333
2025-09-15 03:00:00,21417.333
2025-09-15 04:00:00,21463.167
2025-09-15 05:00:00,22006.75
2025-09-15 06:00:00,24713.833
2025-09-15 07:00:00,28201.333
2025-09-15 08:00:00,29766.5
2025-09-15 09:00:00,30369.917
2025-09-15 10:00:00,30815.25
2025-09-15 11:00:00,30866.917
2025-09-15 12:00:00,31096.167
2025-09-15 13:00:00,31361.5
2025-09-15 14:00:00,31339.417
2025-09-15 15:00:00,31016.333
2025-09-15 16:00:00,30984.5
2025-09-15 17:00:00,31894.083
2025-09-15 18:00:00,32510.667
2025-09-15 19:00:00,32824.667
2025-09-15 20:00:00,34097.667
2025-09-15 21:00:00,33619.5
2025-09-15 22:00:00,30506.083
2025-09-15 23:00:00,27835.75
2025-09-16 00:00:00,26148.75
2025-09-16 01:00:00,24968.75
2025-09-16 02:00:00,23833.5
2025-09-16 03:00:00,23323.5
2025-09-16 04:00:00,23257.333
2025-09-16 05:00:00,23661.75
2025-09-16 06:00:00,26012.917
2025-09-16 07:00:00,29332.25
2025-09-16 08:00:00,30603.917
2025-09-16 09:00:00,31061.083
2025-09-16 10:00:00,31309.25
2025-09-16 11:00:00,31580.75
2025-09-16 12:00:00,31947.583
2025-09-16 13:00:00,32249.75
2025-09-16 14:00:00,32016.417
2025-09-16 15:00:00,31886.167
2025-09-16 16:00:00,31906.917
2025-09-16 17:00:00,32509.667
2025-09-16 18:00:00,32845.667
2025-09-16 19:00:00,33328.083
2025-09-16 20:00:00,34555.0
2025-09-16 21:00:00,34340.667
2025-09-16 22:00:00,31255.833
2025-09-16 23:00:00,28475.167
2025-09-17 00:00:00,26823.417
2025-09-17 01:00:00,25394.5
2025-09-17 02:00:00,24392.833
2025-09-17 03:00:00,23870.667
2025-09-17 04:00:00,23553.583
2025-09-17 05:00:00,24148.75
2025-09-17 06:00:00,26565.75
2025-09-17 07:00:00,29992.167
2025-09-17 08:00:00,31179.5
2025-09-17 09:00:00,31443.5
2025-09-17 10:00:00,31488.0
2025-09-17 11:00:00,31646.167
2025-09-17 12:00:00,31944.667
2025-09-17 13:00:00,32522.083
2025-09-17 14:00:00,32449.083
2025-09-17 15:00:00,32242.5
2025-09-17 16:00:00,32579.167
2025-09-17 17:00:00,33195.417
2025-09-17 18:00:00,33898.583
2025-09-17 19:00:00,34161.0
2025-09-17 20:00:00,35346.333
2025-09-17 21:00:00,34887.833
2025-09-17 22:00:00,31588.417
2025-09-17 23:00:00,28743.083
2025-09-18 00:00:00,26884.667
2025-09-18 01:00:00,25538.0
2025-09-18 02:00:00,24505.917
2025-09-18 03:00:00,23958.75
2025-09-18 04:00:00,23763.75
2025-09-18 05:00:00,24056.083
2025-09-18 06:00:00,26449.833
2025-09-18 07:00:00,29859.417
2025-09-18 08:00:00,30833.25
2025-09-18 09:00:00,31122.0
2025-09-18 10:00:00,31421.0
2025-09-18 11:00:00,31337.833
2025-09-18 12:00:00,31811.417
2025-09-18 13:00:00,32274.833
2025-09-18 14:00:00,32300.333
2025-09-18 15:00:00,32569.5
2025-09-18 16:00:00,32895.5
2025-09-18 17:00:00,33614.75
2025-09-18 18:00:00,33896.083
2025-09-18 19:00:00,34261.5
2025-09-18 20:00:00,35465.917
2025-09-18 21:00:00,35027.667
2025-09-18 22:00:00,32061.25
2025-09-18 23:00:00,29217.917
2025-09-19 00:00:00,27341.5
2025-09-19 01:00:00,25875.0
2025-09-19 02:00:00,24942.333
2025-09-19 03:00:00,24415.333
2025-09-19 04:00:00,24149.75
2025-09-19 05:00:00,24314.0
2025-09-19 06:00:00,26468.5
2025-09-19 07:00:00,29723.833
2025-09-19 08:00:00,31020.75
2025-09-19 09:00:00,31544.75
2025-09-19 10:00:00,31770.083
2025-09-19 11:00:00,31682.833
2025-09-19 12:00:00,31900.5
2025-09-19 13:00:00,32099.667
2025-09-19 14:00:00,31883.833
2025-09-19 15:00:00,31562.667
2025-09-19 16:00:00,31977.667
2025-09-19 17:00:00,32492.583
2025-09-19 18:00:00,32782.25
2025-09-19 19:00:00,32991.333
2025-09-19 20:00:00,33555.75
2025-09-19 21:00:00,32796.25
2025-09-19 22:00:00,30176.333
2025-09-19 23:00:00,28073.5
2025-09-20 00:00:00,26676.833
2025-09-20 01:00:00,25173.5
2025-09-20 02:00:00,23912.167
2025-09-20 03:00:00,23254.0
2025-09-20 04:00:00,22821.75
2025-09-20 05:00:00,22447.083
2025-09-20 06:00:00,23069.083
2025-09-20 07:00:00,24041.333
2025-09-20 08:00:00,24586.25
2025-09-20 09:00:00,25719.333
2025-09-20 10:00:00,26866.333
2025-09-20 11:00:00,27005.833
2025-09-20 12:00:00,26880.5
2025-09-20 13:00:00,27293.0
2025-09-20 14:00:00,27021.083
2025-09-20 15:00:00,26409.917
2025-09-20 16:00:00,26337.0
2025-09-20 17:00:00,26859.083
2025-09-20 18:00:00,27716.667
2025-09-20 19:00:00,28317.75
2025-09-20 20:00:00,29514.917
2025-09-20 21:00:00,29556.167
2025-09-20 22:00:00,27401.667
2025-09-20 23:00:00,25800.917
2025-09-21 00:00:00,24364.833
2025-09-21 01:00:00,23146.5
2025-09-21 02:00:00,22041.5
2025-09-21 03:00:00,21422.833
2025-09-21 04:00:00,20866.75
2025-09-21 05:00:00,20660.25
